,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
0,Long Beach,"City of Long Beach, CA",US,"Sat, 04 Feb 2017 06:04:35 GMT",False,"Long Beach, CA","Long Beach, CA",25 days ago,False,99161282c4674be3,PETROLEUM ENGINEERING ASSOCIATE,33.766483,-118.18681,"indeed_clk(this,'9267');",Bachelor's degree from an accredited college or university in Petroleum <b>Engineering</b> or <b>Chemical</b> <b>Engineering</b> (proof required)*....,"City of Long Beach, CA",False,CA,,http://www.indeed.com/viewjob?jk=99161282c4674be3&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
1,Palo Alto,"PARC, a Xerox company",US,"Sat, 18 Feb 2017 07:47:03 GMT",False,"Palo Alto, CA","Palo Alto, CA",10 days ago,False,a8b3dba9d54a58ac,Member of Research Staff,37.43956,-122.14286,"indeed_clk(this,'9267');","PhD in mechanical <b>engineering</b>, chemistry, <b>chemical</b> <b>engineering</b>, or another relevant field. Member of the Research Staff to drive research into new manufacturing...","PARC, a Xerox company",False,CA,,http://www.indeed.com/viewjob?jk=a8b3dba9d54a58ac&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
2,Redwood City,"GenapSys, Inc.",US,"Fri, 10 Feb 2017 01:38:28 GMT",False,"Redwood City, CA","Redwood City, CA",19 days ago,True,c49fd3a49e6783da,Research Associate,37.483517,-122.23627,"indeed_clk(this,'9267');","Molecular biology, organic chemistry, <b>chemical</b> <b>engineering</b>, biophysics, and bioengineering. Masters in a field such as biology, bioengineering, chemistry or...","GenapSys, Inc.",False,CA,,http://www.indeed.com/viewjob?jk=c49fd3a49e6783da&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
3,San Francisco,Covance,US,"Sat, 19 Nov 2016 01:12:43 GMT",False,"San Francisco, CA","San Francisco, CA",30+ days ago,False,c20a6abf2c7927b3,Process Engineer,37.774727,-122.41758,"indeed_clk(this,'9267');","Masters or Bachelor’s Degree in Food or <b>Chemical</b> <b>Engineering</b> or closely related field, with 7-10+ years industry experience, or a combination of education and...",Covance,False,CA,,http://www.indeed.com/viewjob?jk=c20a6abf2c7927b3&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
4,El Segundo,NantKwest,US,"Tue, 14 Feb 2017 17:55:09 GMT",False,"El Segundo, CA","El Segundo, CA 90245",14 days ago,True,e455d2bf5acf79e4,Process Engineer,33.923077,-118.4011,"indeed_clk(this,'9267');","BS in <b>Chemical</b> <b>Engineering</b> or related fields, MS desired. Providing equipment <b>engineering</b> support for process at NantKwest....",NantKwest,False,CA,,http://www.indeed.com/viewjob?jk=e455d2bf5acf79e4&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
5,Orange,Kerr,US,"Thu, 02 Feb 2017 09:42:16 GMT",False,"Orange, CA","Orange, CA",26 days ago,False,9e267c8b3fa097c2,Chemical Engineer,33.785713,-117.85165,"indeed_clk(this,'9267');","Minimally BS degree in <b>chemical</b> <b>engineering</b>, biomedical <b>engineering</b>, or related fields. Alternatively, an MS in <b>chemical</b> <b>engineering</b> or related fields and...",AB Sciex Pte,False,CA,,http://www.indeed.com/viewjob?jk=9e267c8b3fa097c2&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
6,Irvine,Par Pharmaceutical an Endo International Company,US,"Thu, 26 Jan 2017 22:32:28 GMT",False,"Irvine, CA","Irvine, CA",30+ days ago,False,d43c212e5ffa0a08,Chemist I,33.667583,-117.81868,"indeed_clk(this,'9267');","§ Bachelor of Science Degree in chemistry, <b>chemical</b> <b>engineering</b> or related field with analytical chemistry coursework required....",Par Pharmaceutical an Endo International Company,False,CA,,http://www.indeed.com/viewjob?jk=d43c212e5ffa0a08&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
7,Palo Alto,"Wilson, Sonsini, Goodrich & Rosati",US,"Mon, 02 Jan 2017 06:51:28 GMT",False,"Palo Alto, CA","Palo Alto, CA",30+ days ago,False,9fb8ce75ee3d4697,Associate,37.43956,-122.14286,"indeed_clk(this,'9267');","Associates with 2-5 years of patent litigation experience, strong verbal, written and interpersonal skills, superior academic credentials, and an advanced...","Wilson, Sonsini, Goodrich & Rosati",False,CA,,http://www.indeed.com/viewjob?jk=9fb8ce75ee3d4697&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
8,Menlo Park,Exponent,US,"Tue, 28 Feb 2017 07:27:43 GMT",False,"Menlo Park, CA","Menlo Park, CA 94025",22 hours ago,False,026d32fda9b0945c,Associate/Engineer/Scientist,37.481052,-122.17387,"indeed_clk(this,'9267');","Exponent is a leading <b>engineering</b> and scientific consulting firm. In Physical Chemistry, Materials Science, Biomedical/<b>Chemical</b> <b>engineering</b> or a related field....",Exponent,False,CA,,http://www.indeed.com/viewjob?jk=026d32fda9b0945c&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
9,Emeryville,Grifols Diagnostic Solutions Inc.,US,"Thu, 09 Feb 2017 18:31:06 GMT",False,"Emeryville, CA","Emeryville, CA 94608",19 days ago,True,011972de55aeac4f,"Validation Engineer, Sr.",37.83779,-122.28784,"indeed_clk(this,'9267');","Bachelor's in Mechanical or <b>Chemical</b> <b>Engineering</b>, Science, or related field. Hands on Equipment <b>Engineering</b>:....",Indeed,False,CA,,http://www.indeed.com/viewjob?jk=011972de55aeac4f&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
