,company,description,title
0,"City of Long Beach, CA","<span class=""summary"" id=""job_summary"">DESCRIPTION
Accepting online applications only. Apply online 24 hours a day, beginning February 3, 2017 through 4:30 p.m., March 3, 2017.
<br>
<br>
EXAMPLES OF DUTIES
Under supervision, performs increasingly complex and responsible petroleum engineering and/or geology work pertaining to oil field development, oil and gas production operations, enhanced recovery methods, and other related work; participates in project teams for economic and operational evaluation of field activities and reservoir surveillance; participates in evaluating procedures to ensure oil field environmental and safety regulatory compliance; prepares, reviews or assists in the preparation of petroleum engineering projects, studies, and programs pertaining to oil field development, oil and gas production operations, drilling, oil and gas reserves, field equipment, secondary recovery, enhanced oil recovery, abandonment operation; assists in the planning of oil field, community and industrial development to ensure oil operations compatibility with competitive land use areas; participates in developing operational plans to optimize economic oil recovery; evaluates contracts and regulations pertaining to the oil operations; assists in the development of oil fields budget; assists in the preparation and the making of formal oral presentations to City, Department, contractor, and regulatory personnel; may conduct physical and chemical tests concerning oil, gas and water; may perform in a lead capacity over subordinate personnel; and performs other related duties as required.
<br>
<br>
REQUIREMENTS TO FILE
Candidates must meet requirement A or B:
<br>
A. Bachelor's degree from an accredited college or university in Petroleum Engineering or Chemical Engineering (proof required)*.
<br>
B. Bachelor's degree from an accredited college or university in a closely related field (proof required)
<b>*,
</b>and two years (full-time equivalent) of experience in petroleum engineering, petroleum geology, oil field operations, or other petroleum related operations.
<br>
<br>
Candidates must also meet the following requirements:
<ul><li>Knowledge and ability to operate computers using spreadsheets, word processing, and other business and technical software pertaining to petroleum engineering.
</li><li>Willingness to work occasional weekends, holidays, and split shifts.
</li></ul><ul><li>A valid driver's license is required by the hiring department.
</li></ul><b>*Proof of required documents must be uploaded to the application at the time of filing. Candidates who possess degrees from colleges or universities from outside the United States must attach proof of educational equivalence at the time of filing.
</b><br>
<br>
<b>DESIRABLE QUALIFICATIONS:
</b>Wilmington Oil Field experience; water flood operations experience; Engineer-in-Training certificate issued by the State Board of Registration for Professional Engineers.
<br>
<br>
SELECTION PROCEDURE
This is a continuous examination. All applicants meeting the requirements to file will be placed on the eligible list, with those receiving Veteran's credit first, and then in the order in which applications were filed.
<br>
<br>
<b>If you have not received notification by January 27, 2017 contact the Civil Service Department at (562) 570-6202.
</b><br>
<br>
This information is available in an alternative format by request to (562) 570-6202.
<br>
<br>
If special accommodation is desired, please contact the Civil Service Department two (2) business days prior to the test at (562) 570-6202.
<br>
An Equal Employment Opportunity
<br>
<br>
?K37NN-17 PEAssoc LF 2/1/17</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",PETROLEUM ENGINEERING ASSOCIATE
1,"PARC, a Xerox company","<span class=""summary"" id=""job_summary"">Member of the Research Staff to drive research into new manufacturing processes for battery electrodes
<br><br>
About the Job
<br><br>
The Advancement Manufacturing and Deposition Systems group within the Hardware System Laboratory is looking for quality candidate to drive research into new manufacturing processes for battery electrodes. The ideal candidate will have a history developing new techniques for battery manufacturing and the ability to drive new research directions. PARC has a significant portfolio of innovative battery manufacturing technology and wants to continue to develop and explore new opportunities.
<br><br>
<b>Requirements:</b><br>
<ul>
<li>PhD in mechanical engineering, chemistry, chemical engineering, or another relevant field</li>
<li>Experience with printing processing, slot coating, roll-to-roll processing, or screen printing</li>
<li>Background in battery chemistry</li>
<li>Strong publication record</li>
<li>Research</li>
</ul>
<b>Desired Qualifications:</b><br>
<ul>
<li>Ability to direct research projects</li>
<li>Track record of successful project execution</li>
<li>Knowledge of fluid mechanics, mechanics, and fluid rheology</li>
<li>Experience in an industrial manufacturing environment</li>
</ul>
Benefits
<br><br>
We offer a very competitive salary package and full benefits (medical, dental, vision, life &amp; disability insurance, 401K. PARC also strives for the best possible work-life balance, so employees benefit from maternity, paternity and adoption leave, as well as a variety of flexible working options. PARC employees enjoy the use of onsite health &amp; fitness center and collegial dining at our onsite cafeteria. The PARC campus is in a spacious modern building in close proximity to the resources and opportunities of Silicon Valley and benefits from nearby leading universities such as Stanford and Berkeley. It is also close to many amenities, top schools, and outdoor activities (see http://www.parc.com/about/culture.html). PARC provides a highly diverse environment and is proud to be an equal opportunity employer (see http://www.parc.com/about/careers/).
<br><br>
About PARC
<br><br>
PARC, a Xerox company, is in the Business of Breakthroughs®. Practicing open innovation, we provide custom R&amp;D; services, technology, expertise, best practices, and intellectual property to Fortune 500 and Global 1000 companies, startups, and government agencies and partners. We create new business options, accelerate time to market, augment internal capabilities, and reduce risk for our clients.
<br><br>
Since its inception, PARC has pioneered many technology platforms – from the Ethernet and laser printing to the GUI and ubiquitous computing – and has enabled the creation of many industries. Incorporated as an independent, wholly owned subsidiary of Xerox in 2002, PARC today continues the research that enables breakthroughs for our clients' businesses.
<br><br>
PARC is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. People with disabilities who need a reasonable accommodation to apply or compete for employment with PARC should contact PARC Human Resources.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Member of Research Staff
2,"GenapSys, Inc.","<span class=""summary"" id=""job_summary"">At GenapSys we are working to change the world of healthcare and diagnostics. Our team brings together an incredibly diverse and multidisciplinary set of backgrounds and skills – from electrical and mechanical engineers, to physicists, chemists, microfluidic engineers, molecular biologists, bioinformaticians, mathematicians and more. Together we will advance scientific and medical knowledge and improve human health through cheaper, faster, and more accurate DNA sequencing technologies. We are working cross functionally to make a great impact in the world – join us on that mission!
<br><br>
We’re looking for a talented and organized team player to work at a fast-paced startup. This individual will be eager and enthusiastic, and someone who wants to take on many responsibilities. In essence, this position requires someone who is willing to roll up his/her sleeves and work hard to push product development forward. Formal educational background may include: molecular biology, organic chemistry, chemical engineering, biophysics, and bioengineering.
<br><br>
Responsibilities
<br><br>
<ul>
<li>Design, execute, document, and analyze molecular biology experiments</li>
<li>Data driven - critically evaluate new/optimized reagents for the GenapSys sample prep</li>
<li>Optimize the laboratory workflow associated with the GenapSys platform</li>
<li>Help drive productivity increases through technological insights, exceptional time management skills and a ‘can do’ approach to the challenges at hand</li>
<li>Collaborate well within a multidisciplinary organization</li>
<li>Follow and develop well-documented SOPs</li>
</ul>
Required Qualifications
<br><br>
<ul>
<li>Masters in a field such as biology, bioengineering, chemistry or chemical engineering</li>
<li>M.S. with 2+ years of experience preferred</li>
<li>Hand-on experience with molecular biology and biochemistry techniques, e.g. PCR and Isothermal amplification, NGS sample preparation, nucleic acid techniques etc.</li>
<li>Proven ability to solve scientific and engineering problems</li>
<li>Detail oriented, excellent organizational and communication skills and efficienct at getting task done</li>
<li>Ambitious and looking to take on additional responsibilities</li>
</ul>
Benefits &amp; Perks
<br><br>
<ul>
<li>Competitive compensation and stock options</li>
<li>Anthem Blue Cross PPO and Kaiser Medical (including for dependents)</li>
<li>Excellent Dental and Vision through Guardian</li>
<li>Fully sponsored Life, Short and Long-term Disability insurance</li>
<li>FSA, 401(k) retirement plan</li>
<li>Stocked kitchen and beverages, daily catered gourmet lunches</li>
<li>Weekly Fancy High Tea and Happy Hours</li>
<li>Free complex onsite gym membership</li>
<li>Learning and growth opportunities</li>
</ul>
About GenapSys
<br><br>
At GenapSys, we are developing a DNA-sequencing technology that will revolutionize the world of healthcare. Our system will enable fast, accurate, and ultra-low cost genetic tests in order to better understand (and ultimately treat) genetic diseases such as Cancer, Parkinson’s, Diabetes, and Alzheimers, just to name a few. GenapSys was founded by Dr. Hesaam Esfandyarpour, and incubated over 6 years (2004-2010) at Stanford University. The company was incorporated in early 2010 and is funded by leading firms in both venture and institutional capital. We have built an incredible team of scientists, engineers, and business professionals – join our team and be part of the adventure!</br></br></br></br></br></br></br></br></br></br></br></br></span>",Research Associate
3,Covance,"<span class=""summary"" id=""job_summary"">Covance Food Solutions, formerly National Food Lab is looking to add a Process Engineer to our Product Development Consulting Services team. This position is responsible for designing and leading complex process development projects consistent with strategic plans. They oversee the technical operations of the process development and pilot plant areas, and maintain and improve quality programs and capabilities of the process development group. This is an exciting time to join a company where you are able to cross train on a variety of projects. Additional responsibilities include:
<br>
<br>
• Plans and designs specific activities required by the projects and distributes activities to Process Technologist or Intern based on skill sets.
<br>
• Designs and leads complex process development projects in Covance development labs and pilot plants.
<br>
• Manages all aspects of projects from raw material procurement, equipment selection, production line set up, cleaning and sanitation, processing procedures, food safety/quality requirements, trial execution, and commercialization support.
<br>
• Client contact and sales support in support of Company financial objectives and strategies. This position has responsibility for communicating new opportunities, and working with Covance staff to set-up and make sales calls and participate in sales programs (e.g., IFT meetings, etc.).
<br>
• Interface with Clients to develop project plans for pilot plant trials, studies, projects, and to develop proposals based on those plans. Follow up on all proposals and cost estimates, and communicate results to the appropriate people within Covance.
<br>
• Support the ongoing project management efforts of the process development group to meet or exceed customer needs.
<br>
• Coordinate joint product and process development projects with the Product Development Technical Managers, including staffing, project costs, pilot plant schedules, and quality of output.
<br>
• Develop and maintain technical skills needed for the process development segment.
<br>
• Supervise staff affiliated with process development projects including project leaders, pilot plant supervisors, Technologists and Technicians. Develop and maintain a strong team.
<br>
• Manage the ongoing project priorities and workflow of the process development group. Identify scheduling conflicts and needs for temporary help and/or additional resources (e.g., staff, capital, etc.).
<br>
• Maintain and improve the ongoing quality of output from process development.
<br>
• Investigate new/existing technologies, which represent new capabilities/potential marketing opportunities.
<br>
• Coordinate pilot plant schedule and operations, including maintenance of the facility and equipment, and establishing and monitoring standard operating guidelines for the pilot plant operations to ensure high quality output.
<br>
• Coordinate with Covance Food Safety and QA teams to ensure compliance with applicable food processing regulations, good manufacturing procedures, good laboratory practices, and safety.
<br>
• Understand FDA, USDA, EPA, OSHA, and State of California requirements for Covance’s food processing facilities. File any required documentation for the pilot plant and/or food labs.
<br>
• Travel as required to support sales calls, project work, and or production scale up.
<br>
<br>
Education/Qualifications
<br>
Required:
<br>
• Masters or Bachelor’s Degree in Food or Chemical Engineering or closely related field, with 7-10+ years industry experience, or a combination of education and experience demonstrating an ability to perform the essential functions of the position.
<br>
<br>
Experience
<br>
Required:
<br>
• Masters or Bachelor’s Degree in Food or Chemical Engineering or closely related field, with 7-10+ years industry experience, or a combination of education and experience demonstrating an ability to perform the essential functions of the position.
<br>
• Knowledge of regulatory agency guidelines.
<br>
• Knowledge of: Process development of a wide variety of foods and beverages, food processing equipment and operations including understanding the chemical microbiological and engineering effects of operations, thermal processing, packaging materials, sanitation procedures, project management, and experimental design.
<br>
• Proficiency in project management skills.
<br>
• Ability to conduct review of related literature and references to obtain the required information and subsequently apply it.
<br>
• Skilled in data interpretation and report writing.
<br>
• Skilled in performing scientific presentations and preparing scientific publications.
<br>
• Excellent interpersonal skills.
<br>
<br>
EEO Employer
<br>
Covance is committed to diversity in the workplace and is an equal opportunity employer (Minority/Female/Individual with Disability/Veteran/Sexual Orientation/Gender Identity). Your confidentiality and privacy are important to us.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Process Engineer
4,NantKwest,"<span class=""summary"" id=""job_summary"">We are seeking an experienced, highly motivated Process Engineer in support of cell therapy manufacturing, equipment development and process flows. This position will also play a significant role in the technical support of the construction of our GMP facility.
<br><br>
<b>Primary Responsibilities:</b><br>
Providing equipment engineering support for process at NantKwest
<br><br>
Resolving technical issues with equipment as it pertains to the process requirements
<br><br>
Optimizing process equipment, identifying root cause for deviation, defining corrective/preventive action
<br><br>
Support FAT/SAT, commissioning, and validation from a process perspective, draft SOPâs equipmentâs and define user specifications
<br><br>
Provide technical support during cGMP audits
<br><br>
Train manufacturing personnel in equipment operations
<br><br>
Manage, analyze, and identify trends in data.
<br><br>
Draft documents including batch documentation, validation protocols, evaluation protocols/reports, investigation reports, and standard operating procedures (SOPs).
<br><br>
Support internal and external auditors and regulatory agencies, as needed, during inspections.
<br><br>
Support investigations relating to manufacturing issues, product release performance, and/or equipment issues
<br><br>
Ensure that appropriate procedures are established to support Design for Manufacturability and Process/Product Reliability
<br><br>
Perform other duties as required and assigned.
<br><br>
<b>Education/Experience Requirements:</b><br>
BS in Chemical Engineering or related fields, MS desired
<br><br>
6+ years of industrial experience in process engineering
<br><br>
Strong computer programming and software development experience
<br><br>
Experience using software tools for process simulation, design, and programming
<br><br>
NantKwest is an innovative clinical-stage immunotherapy company focused on harnessing the power of the innate immune system by using the natural killer cell to treat cancer, infectious diseases and inflammatory diseases.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Process Engineer
5,Kerr,"<span class=""summary"" id=""job_summary"">Kerr Corporation,
<br><br>
one of the many successful companies owned by Danaher Corporation is a manufacturer of premiere dental consumables sold both domestically and internationally. Since 1891, Kerr has continued to build on its core competencies in developing innovative products for dental restorative procedures. With manufacturing, marketing and sales locations worldwide, Kerr is advancing esthetic dentistry through education and sustainable solutions for the clinician. Kerr's team spirited work environment encourages opportunities for personal and professional growth. Headquartered in Orange, CA., Kerr employs over 2,000 associates worldwide with manufacturing and administration offices located in the US, Switzerland, Czech Republic, and Italy.
<br><br>
Description
<br><br>
<b>Essential Duties and Responsibilities:</b><br>
Design and carry out experiments that scientifically confirm performance, reliability, and shelf life.
<br><br>
Independently conducts work in agreement with supervisor. Designs and carries out experimental work using appropriate methods and instrumentation.
<br><br>
Able to lead portions of NPD and Sustaining projects with minimal supervision; is accountable for achievement of parts of project plan for NPD and Sustaining projects. Can lead Sustaining projects of low to moderate complexity independently.
<br><br>
Suggest experimental approaches to complex problems and carry out investigations independently. Ability to prioritize.
<br><br>
Collaborate on plan for design verification studies, carry out design verification studies.
<br><br>
Independently plan schedule of research according to company’s timetable, and establish daily or weekly routines necessary to meet project timetable.
<br><br>
Develop research plan and design experiments of a complex nature.
<br><br>
Records experimental data according to established procedures, makes calculations, evaluates results, makes recommendations and maintains accurate records of work.
<br><br>
Prepare standard technical reports and memos. Summarizes and communicates data of a complex nature as required.
<br><br>
Identifies deficiencies and modifies/improves existing procedures. Authors operating procedures as needed.
<br><br>
Develops solutions to problems of intermediate and advanced scope. Skilled in problem solving and root cause analysis.
<br><br>
Independently conducts problem solving investigations, identified root causes. Can supervise corrective and preventive actions at basic and intermediate level.
<br><br>
Contributes to design of experiments at an intermediate and advanced level, can design simple to complex experiments.
<br><br>
Provides training to research associates.
<br><br>
Develop in-depth knowledge of new and existing products.
<br><br>
Evaluation of ideas, competition products and new technologies.
<br><br>
Perform other duties as responsibilities necessitate.
<br><br>
Ensure internal contract manufacturers manufacture according to specifications and work instructions, demonstrate capability to and ensure quality metrics are achieved by manufacturing partners.
<br><br>
Coordinate ongoing product stability studies.
<br><br>
Qualifications
<br><br>
<b>Qualifications:</b><br>
Minimally BS degree in chemical engineering, biomedical engineering, or related fields.
<br><br>
A minimum 5+ years of industrial laboratory experience are required.
<br><br>
<b>Preferred Qualifications:</b><br>
Alternatively, an MS in chemical engineering or related fields and minimum 2 years of experience.
<br><br>
<b>The Candidate should:</b><br>
Possess an understanding of good laboratory practices.
<br><br>
Be proficient with Microsoft Word and Excel.
<br><br>
Possess excellent verbal and written communication skills.
<br><br>
Possess strong organizational/time management skills.
<br><br>
<b>Physical Demands:</b><br>
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
<br><br>
While performing the duties of this Job, the employee is regularly required to sit. The employee is frequently required to walk. The employee is occasionally required to stand. The employee must occasionally lift and/or move up to 10 pounds.
<br><br>
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
<br><br>
Kerr Corporation
<br><br>
is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, national origin, religion, gender, age, marital status, disability, veteran status, sexual orientation, gender identity, or any other characteristic protected by law.
<br><br>
Danaher Corporation Overview
<br><br>
Danaher is a global science &amp; technology innovator committed to helping our customers solve complex challenges and improve quality of life worldwide. Our world class brands are leaders in some of the most demanding and attractive industries, including life sciences, medical diagnostics, dental, environmental and industrial solutions. Our globally diverse team of 59,000 associates is united by a common culture and operating system, the Danaher Business System, which serves as our competitive advantage. We generated $16.5B in revenue last year. We are ranked #133 on the Fortune 500 and our stock has outperformed the S&amp;P; 500 by more than 2,000% over 20 years.
<br><br>
At Danaher, you can build a career in a way no other company can duplicate. Our brands allow us to offer dynamic careers across multiple industries. We’re innovative, fast-paced, results-oriented, and we win. We need talented people to keep winning. Here you’ll learn how DBS is used to shape strategy, focus execution, align our people, and create value for customers and shareholders. Come join our winning team.
<br><br>
Organization
<br><br>
:
<br><br>
Kerr
<br><br>
Job Function
<br><br>
:
<br><br>
Engineering
<br><br>
Primary Location
<br><br>
:
<br><br>
North America-United States-CA-Orange
<br><br>
Schedule
<br><br>
:
<br><br>
Full-time</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Chemical Engineer
6,Par Pharmaceutical an Endo International Company,"<span class=""summary"" id=""job_summary"">Key Accountabilities <em>- key outcomes/deliverables, the major responsibilities, and % of time
</em><br>
<br>
Accountability
<br>
<br>
Responsibilities
<br>
<br>
% of Time
<br>
<br>
Analysis &amp; Testing
<br>
<br>
§ Conducts routine laboratory analyses: finished product testing, stability testing, raw material testing, cleaning verification testing and manufacturing in-process testing. Typical activities may include buffer/solution preparation, standard preparation and operating analytical instruments: HPLC, UV-Vis, FT-IR, GC and dissolution tester, melting point apparatus, viscometer, Karl Fischer titrator, pH meter, analytical balance, etc.
<br>
<br>
§ Uses laboratory software for analyses
<br>
<br>
65%
<br>
<br>
Lab Equipment
<br>
<br>
§ Provides general laboratory support such as routine instrument cleaning/preventative maintenance/calibration, sample receiving, chemical inventory, document filing and housekeeping
<br>
<br>
§ Cleans lab working surfaces and disposes of any excess chemicals, solutions, solvents, etc. in the special waste containers for each class of waste chemicals
<br>
<br>
§ Under close supervision, learns to troubleshoot basic instrument problems
<br>
<br>
20%
<br>
<br>
Investigations
<br>
<br>
§ With guidance, participates in OOS/OOT/NOE and other investigations
<br>
<br>
§ Elevates questionable sample results, OOS, and aberrant results immediately to Supervisor
<br>
<br>
§ May assist in drafting, editing, and reviewing SOPs and laboratory investigations
<br>
<br>
10%
<br>
<br>
Training
<br>
<br>
§ Maintains assigned training records current and in-compliance
<br>
<br>
§ May assist in the training of less senior laboratory staff
<br>
<br>
5%
<br>
<br>
Compliance
<br>
<br>
§ Performs assigned work in a timely and safe manner conforming to regulatory, company and compendiaI requirements within pharmaceutical manufacturing setting
<br>
<br>
§ Document accurately data generated in notebooks/worksheets/LIMS in compliance with SOPs
<br>
<br>
§ Follows internal processes related to controlled substances
<br>
<br>
continuous
<br>
<br>
Safety
<br>
<br>
§ Follows EH&amp;S; procedures to ensure a safe work environment
<br>
<br>
§ Follows all applicable safety and standards guidelines, such as SOPs, cGMP, DEA regulations good documentation practice and/or MSDS
<br>
<br>
continuous
<br>
<br>
Total
<br>
<br>
100%
<br>
<br>
Qualifications
<br>
<br>
Education &amp; Experience
<br>
<br>
<em>Minimal acceptable level of education, work experience and certifications required for the job
</em><br>
<br>
§ Bachelor of Science Degree in chemistry, chemical engineering or related field with analytical chemistry coursework required.
<br>
<br>
§ Some pharmaceutical laboratory experience preferred.
<br>
<br>
Knowledge
<br>
<br>
<em>Proficiency in a body of information required for the job
</em><br>
<br>
<em>e.g. knowledge of FDA regulations, GMP/GLP/GCP, Lean Manufacturing, Six-Sigma, etc.
</em><br>
<br>
§ Proficiency with various laboratory techniques/instruments: HPLC, UV-Vis, FT-IR, GC and dissolution tester, melting point apparatus, viscometer, Karl Fischer titrator, pH meter, analytical balance, etc.
<br>
<br>
§ Basic knowledge of wet chemistry techniques
<br>
<br>
§ Knowledge of applicable safety and standards guidelines: SOP, cGMP, GLP, DEA regulations and/or MSDS
<br>
<br>
§ Competency in Microsoft Office Suite
<br>
<br>
Skills
<br>
<br>
&amp;
<br>
<br>
Abilities
<br>
<br>
<em>Often referred to as “competencies”, leadership attributes, skills, abilities or behaviors that may be enterprise, functional or job specific e.g. coaching, negotiation, calibration, technical writing </em><em>etc.
</em><br>
<br>
§ Ability to display and analyze data in a logical manner
<br>
<br>
§ Good verbal and written communication skills as well as good computer skills
<br>
<br>
§ Attention to details and accurate record keeping
<br>
<br>
§ Establish and maintain cooperative working relationships with others
<br>
<br>
§ Solid organizational skills
<br>
<br>
§ Ability to take initiative, set priorities and follow through on assignments
<br>
<br>
Physical Requirements
<br>
<br>
<em>Physical &amp; mental requirements e.g. lift 40 pounds, walk across plant/warehouse, business travel (% of time), driving as part of work responsibilities, etc.
</em><br>
<br>
§ Extended periods of sitting, standing, walking, reaching, climbing/balancing, kneeling/crouching/crawling, looking at monitor for extended periods, moderate noise levels and potential business travel. Work is in an FDA and DEA-regulated pharma lab environment with risk of exposure to various chemicals
<br>
<br>
§ Must occasionally lift and/or move up to 15-25 lbs.
<br>
<br>
§ Ability to wear personal protective equipment, including respirators, gloves, etc.
<br>
<br>
§ Specific visions abilities are required by this job include close vision and color vision
<br>
<br>
§ Ability to occasionally tolerate significant differences in temperature and/or humidity for short periods</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Chemist I
7,"Wilson, Sonsini, Goodrich & Rosati","<span class=""summary"" id=""job_summary"">Associates with 2-5 years of patent litigation experience, strong verbal, written and interpersonal skills, superior academic credentials, and an advanced degree in electrical engineering, computer science, organic chemistry, chemical engineering, pharmacology, or a related field. Candidates will assist with USPTO litigation proceedings, so litigation experience is required, and prosecution experience would be a plus. The firm is open to having the successful candidate reside in Seattle, Palo Alto, or Washington, D.C.</span>",Associate
8,Exponent,"<span class=""summary"" id=""job_summary"">Exponent </span>",Associate/Engineer/Scientist
9,Grifols Diagnostic Solutions Inc.,"<span class=""summary"" id=""job_summary""><p><b>Experience</b></p><p>Minimum 7 yearâs experience in pharmaceutical/biotech operations</p><p>Minimum 5 years direct/ hands on experience with validation of equipment, computerized systems, utilities, and facilities</p><p><b>Education</b> : Bachelor's in Mechanical or Chemical Engineering, Science, or related field</p><p><b>Knowledge, Skills, and Abilities</b></p><ul><li>Direct experience with regulated environments (i.e. cGMP, OSHA, EPA) required * Technical expertise in biotech unit operations, ability to handle multiple projects at one time * Working knowledge of processes in fermentation, purification and/or formulation required * Strong leadership, organizational planning, and project management skills * Excellent interpersonal effectiveness and communication skills (written and oral) * Ability to work with a cross functional team to achieve expected results * Proficient in MS Word, Excel, and ProjectEducation</li></ul><p><b>Summary</b> : The Senior Validation Engineer executes validation activities for equipment, computerized systems, utilities, and facilities. The engineer prepares validation documents and executes validation/qualification and re-qualification activities for new and modified systems and performs tasks required to maintain the validated state of qualified systems.</p><p><b>Primary responsibilities for role</b></p><ul><li>Ensures company and Site Validation policies and procedures are adhered to. * Ensures validated systems are fit for their intended use and are in compliance with the appropriate industry standards. * Ensures work undertaken is appropriately documented and summarized in the appropriate validation documents. * Develops validation protocols and reports, ensuring alignment with Validation policies and guidance documents * Liaises with equipment manufacturers, internal and external project personnel to ensure successful qualification execution. * Seeks and retains approval for qualification protocols and reports from user groups (approvers from user group operations) and Quality (approves documents from a regulatory compliance standpoint) * Executes qualification protocols. * Ensures the maintenance of a qualification document listing all qualified systems on site. * Maintains validation policies and procedures as needed * Provides expert guidance for the resolution of technical issues arising during the execution of qualification activities. * Performs any other activities as directed by the Validation Manager.</li></ul><p>Job Type: Full-time</p><p>Salary: $110,000.00 /year</p><p>Required education:</p><ul><li>Bachelor's</li></ul><p>Required experience:</p><ul><li>Medical Devices/Pharma: 5 years</li><li>Hands on Equipment Engineering: 5 years</li><li>Validation: 5 years</li></ul></span>","Validation Engineer, Sr."
