,company,description,title
0,Lawrence Livermore National Laboratory,"<span class=""summary"" id=""job_summary"">Materials Scientist/Physicist
<li></li></span>",Materials Scientist/Physicist
1,Intel,"<span class=""summary"" id=""job_summary"">Job Description
</span>",R&D Process Engineer
2,Tesla Motors,"<span class=""summary"" id=""job_summary"">Failure Analysis Engineer
</span>",Reliability Engineer - Failure Analysis
3,SpaceX,"<span class=""summary"" id=""job_summary"">SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars.
<br><br>
Materials Engineer (Avionics)
<br><br>
<b>Responsibilities:</b><br>
Lead design decisions related to selection of materials and processes for space applications
<br>Generate and execute test plans and review materials for compliance to internal requirements or to industry standards
<br>Support drawing and specification review
<br>Develop and qualify new materials and processes in the areas of soldering, PCB/PCBA and conformal coating
<br>Work with supplier quality to identify qualified vendors and test houses to perform testing and manufacturing
<br>Assist in failure analysis and implement corrective actions based on findings using standardized analysis techniques
<br><br>
<b>Basic Qualifications:</b><br>
Bachelor’s degree in Materials Science, Materials Engineering, Chemical Engineering, Physics or Electrical Engineering
<br>2+ years of professional experience with electronic materials
<br><br>
<b>Preferred Skills and Experience:</b><br>
Master’s degree in Materials Science, Materials Engineering, Chemical Engineering, Physics or Electrical Engineering
<br>Experience with RF transparent materials
<br>Experience with encapsulants, solders, printed wiring board materials and conformal coating
<br>Extensive experience with the manufacture and assembly of electronic printed circuit boards
<br>Knowledge of Surface Mount Technology (SMT) processes, such as solder paste deposition, surface mount pick and place, vapor phase solder reflow and aqueous cleaning
<br>Extensive knowledge of printed circuit board materials and polymeric materials associated with their assembly
<br>Experience with lead forming tooling and lead plating
<br>Able to perform technical analysis to determine root cause and corrective actions related to SMT manufacturing process issues
<br>Experience with lead free components and processes
<br>Knowledge of IPC-J-STD-001 Class 3, NASA-STD-8739 series, IPC-STD-2222 Class 3, IPC-STD-6012 Class 3, or industry equivalent
<br>Experience with destructive physical analysis of components and piece part failure modes
<br>Capable of operating with considerable independence while also understanding when it is necessary to confer with cross department engineering and production leads to resolve more complex issues
<br>Strong work ethic and self-starter
<br>Able to work in a team environment with good communication skills
<br>Able to effectively manage multiple projects and tasks simultaneously, while meeting deadlines
<br><br>
<b>ITAR Requirements:</b><br>
To conform to U.S. Government space technology export regulations, applicant must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State. Learn more about ITAR here .
<br>SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status.
<br>Applicants wishing to view a copy of SpaceX’s Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process should notify the Human Resources Department at (310) 363-6000.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Materials Engineer (Avionics)
4,Google,"<span class=""summary"" id=""job_summary"">Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users.
<br>
<br>
With your technical expertise, you lead projects in multiple areas of expertise (i.e., engineering domains or systems) within a data center facility, including construction and equipment installation/troubleshooting/debugging with vendors.
<br>
<br>
The Failure Analysis and Materials lab within the Reliability Engineering department conducts investigations into failed materials, components, assemblies and products during development, production and use for multiple groups within Hardware. The lab uses its state of the art facilities and equipment to study the characteristics of materials and their failure mechanisms. Lab personnel work closely with product teams and other cross-functional teams to drive corrective actions within Hardware and within the supply chain.
<br>
<br>
Google's mission is to organize the world's information and make it universally accessible and useful. Our Consumer Hardware team researches, designs, and develops new technologies and hardware to make our user's interaction with computing faster, more powerful, and seamless. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, our Consumer Hardware team is making people's lives better through technology.
<br>
<br>
<b>Responsibilities
</b><ul><li>Investigate failures, identify root cause and work to drive corrective actions with product teams.
</li><li>Develop novel methods for analysis using in-house equipment which reduce cost and improve turnaround time of investigations
</li><li>Use materials expertise to help select materials and specify testing for materials qualification
</li><li>Work with partners/vendors/internal teams to develop best-in-class materials for product teams
</li><li>Take hands-on ownership of laboratory and analytical equipment
</li></ul><br>
<b>Qualifications
</b>Minimum qualifications:
<ul><li>PhD in Materials Science, Electrical Engineering, Mechanical Engineering, Chemistry, Chemical Engineering, with a focus on experimental work or equivalent practical experience.
</li><li>2 years of industrial experience in one of the following industries: medical devices, consumer goods/products, aerospace/defense, consumer electronics, semiconductors, display/lighting, solar, chemicals, or oil and gas
</li><li>Experience in a technical/engineering role which focused on materials engineering, design, design validation, product development, field testing, failure analysis, reliability, or equivalent.
</li><li>Experience in 2 of the following scientific instruments and/or disciplines: Electron Microscopy, Fracture Mechanics/Fractography, Finite Element Analysis, Computed Tomography X-Ray, Scanning Probe Microscopy, Thermal Analysis, Analytical Chemistry
</li></ul><br>
Preferred qualifications:
<ul><li>Programming experience in 2 or more of the following languages: MATLAB, Python, R, JavaScript, C/C++. Experience related to developing experimental automation, instrument control, data analysis tools, numerical simulations or statistical analyses.
</li><li>Experience working in a production environment
</li><li>Experience working at multiple stages in the product lifecycle
</li><li>Capable of influencing teams indirectly through timely, accurate and powerful analysis
</li><li>Excellent written and verbal communication skills
</li><li>Willing to travel up to 10% of the time, including international travel</li></ul></br></br></br></br></br></br></br></br></br></br></span>","Reliability Engineer, Failure Analysis and Materials Lab"
5,SanDisk,"<span class=""summary"" id=""job_summary"">SanDisk®, a Western Digital brand, has been expanding the possibilities of data storage for more than 25 years—giving businesses and consumers the peace of mind that comes from knowing their data is readily available and reliable, even in the most challenging environments. Our products are used in the world's leading-edge data centers, embedded in game-changing smartphones, tablets, and laptops, and entrusted by consumers around the world. As a vertically-integrated storage solution company, we are able to quickly deliver innovative, high-quality solutions with less time from research to realization. From mobile devices to hyperscale data centers, SanDisk storage solutions make the incredible possible.
</span>","Staff Engineer, R&D Engineering"
6,Synaptics,"<span class=""summary"" id=""job_summary"">About Synaptics
</span>",Research Scientist
7,Otter Products,"<span class=""summary"" id=""job_summary"">Founded in 1998, Otter Products has become a global innovator of premium protective solutions for smartphone and tablet devices. At Otter Products, “We Grow to Give.” The company’s success is measured by this mission and brought to life through the OtterCares Foundation. A seven-time honoree on the Inc. 5000 list of fastest growing private companies in the U.S., Otter Products was also named one of “America’s Most Promising Companies” by Forbes Magazine and one of the ""Healthiest Companies to Work for in America"" by Greatist. The company is headquartered in Fort Collins, Colo., with offices in San Diego; Cork, Ireland; and Hong Kong.
<br>
<br>
Otter Products is looking to hire a top-notch Product Testing Engineer in our San Diego office. The Product Testing Team plays a key role to ensure quality of Otter Products core products and new technologies through testing. This individual will work closely with the cross-functional product development teams to facilitate product testing to internal and external performance/quality requirements. The Product Test Engineer is responsible for understanding and interpreting test requirement, designing and executing test plans accordingly, researching and developing test methods, establishing test protocols and their associated work instructions, analyzing test results and data, making determinations of pass/fail criteria, and communicating results.
<br>
<br>
The ideal candidate will have advanced mechanical testing experience in the consumer products industry. We need someone with an excellent understanding of materials science and mechanics of materials. A strong understanding of manufacturing processes are a must in this role as well, experience working with manufacturing processes with injection molded products is highly desirable. Do you enjoy providing exceptional customer service to internal and external customers? Do you love solving problems? Do you have an out of this world product testing background? If so, this might be the role for you!
<br>
<br>
<b>Responsibilities:
</b><ul><li>Manage testing needs for core product, future product Series, and technical development activities. </li><li>Create and execute Design Validation Test (DVT) plans </li><li>Support all of the organization’s product testing needs including (but not limited to): Fit and function compatibility, shock and drop, environmental exposure, water and dust ingress, mechanical cycling, material property testing </li><li>Procure, design, and implement improvements/modifications to test fixtures </li><li>Determine materials used in a part or assembly and utilize published technical data for these materials </li><li>Understand how manufacturing methods may impact the quality of the final part/assembly and look for defects inherent to the manufacturing process </li><li>Gather feedback from tooling and manufacturing engineers for product quality issues, and provide recommendations to design engineers to reduce quality risks </li><li>Work with 3 rd -party accredited test laboratories </li><li>Read, interpret, apply, refine, and define internal standards </li><li>Research and apply industry standards (e.g., MIL-STD, ASTM, ISO, ISTA) to Otter Products testing needs </li><li>Inspect, diagnose, retrofit and install mechanical systems of moderate complexity </li><li>Obtain product requirements, consults on product specifications, and create testing methods to meet those specifications </li><li>Troubleshoot and analyze failures and make suggestions for corrective action </li><li>Use statistical software (e.g., Minitab) to analyze data and present results </li><li>Ensure compliance with test, safety and security procedures </li><li>Generate accurate, clear, and concise test reports and provide timely updates of testing results to the product design team </li><li>Follows appropriate documentation procedures in daily work </li><li>Use excellent verbal and written communication to convey all aspects of testing </li><li>Present very complex information in a concise manner so that it can be understood by non-technical personnel </li><li>Provide outstanding customer service to internal and external customers </li><li>Work well with teams but also individually with minimal supervision </li><li>Adapt to changing priorities </li><li>Demonstrate technical leadership </li><li>Other duties as required
</li></ul><br>
<b>Qualifications:
</b><ul><li>Bachelors of Science in Mechanical Engineering (BSME) or related engineering degree required. Experience in lieu of degree may be considered. </li><li>Minimum six years of consumer product testing experience required. Applicable engineering experience preferred. </li><li>Experience using SolidWorks or other 3D CAD software required </li><li>Ability to travel up to 10% of the time (domestic and international)
</li></ul><br>
Otter Products is an Equal Employment Opportunity Employer (EEOC)</br></br></br></br></br></br></br></br></span>","Product Testing Engineer (San Diego, CA)"
8,SanDisk,"<span class=""summary"" id=""job_summary"">Req ID: </span>","Staff Engineer, Process Engineering Job"
9,EMD,"<span class=""summary"" id=""job_summary""><b>Who we are:</b><br>
EMD Performance Materials, the North American high-tech materials brand of Merck KGaA, Darmstadt, Germany, comprises a portfolio for applications in fields such as consumer electronics, lighting, coatings, printing technology, plastics, and cosmetics. Key products are: display materials, LED materials for lighting as well as OLED materials for lighting and displays, functional materials for solar panels and energy solutions, effect pigments as well as active ingredients and fillers for cosmetics, food and pharmaceutical products, effect pigments and functional materials for coatings, printing and plastics and high-purity specialty chemical materials for the electronics and semiconductor industry and is currently working on innovative materials for technologies that enable solar energy to be used efficiently and energy-saving LEDs and OLEDs to be developed.
<br><br>
<b>Your role:</b><br>
EMD Performance Materials is searching for a Material Scientist within our Ormet paste business supporting our conductive paste projects. We are seeking a highly motivated and creative individual with a strong scientific background and hands-on experience in metallurgy, solder paste, sintering and/or applications engineering for implementing such pastes. The person in this role will be responsible for developing and testing new formulations as well as devising application-specific test vehicles to validate that key requirements are met. In addition, this scientist will be responsible for performing research to design innovative formulation concepts in-line with customersâ requirements for sintering pastes, run tests and studies. The candidate will be part of the highly talented multi-disciplinary R&amp;D; team of Ormet in San Diego.
<br><br>
Essential Duties and Responsibilities include the following, other duties may be assigned.
<br><br>
Develop thorough understanding of the material, customer requirements and support our R&amp;D; directors in developing new products to create profitable growth for the Ormet business platform.
<br><br>
Develop new material formulations and support various R&amp;D; projects, run experiments and evaluate results.
<br><br>
Contribute to the generation of Intellectual Properties.
<br><br>
Contribute to the evaluation of competitor landscape.
<br><br>
Work independently on the design, execution, and interpretation of experimental results.
<br><br>
Maintain accurate and timely records of experimental designs, assay development, experimental results, and data analysis.
<br><br>
Support strategy for optimization of material development as needed.
<br><br>
Your possibilities to develop in our growing company are just as manifold as our product portfolio.
<br><br>
<b>Who you are:</b><br>
PhD in Chemistry, Metallurgy or Materials Science with 0-5 years of experience in an appropriate technical or scientific discipline; or BS in Chemistry, Metallurgy or Materials Science with &gt;10 years of experience in electronic packaging.
<br><br>
Hands-on experience in sintering technologies and formulation.
<br><br>
Must be able to work on assigned projects independently and to complete projects of high quality in a timely manner.
<br><br>
Strong analytical skills; ability to analyze, troubleshoot and overcome technical hurdles independently and methodically with minimal guidance.
<br><br>
Significant understanding of the electronics industry, and specific experience in this area is particularly desirable.
<br><br>
Understanding of Design of Experiments methodologies, and experience analyzing data using statistical analysis tools.
<br><br>
Detail-oriented with good time management skills.
<br><br>
Ability to stay proactive and cooperative working in a small team environment.
<br><br>
The ability to communicate fluently in English is essential.
<br><br>
Regular international travel is required, with total travel time no more than 20%
<br><br>
Strong presentation and written and verbal communication skills
<br><br>
Effective computer skills in Microsoft Office suite, and e-mail/calendaring database systems, such as Outlook are preferred.
<br><br>
<b>What we offer:</b><br>
Your possibilities to develop in our growing company are just as manifold as our product portfolio. We offer a modern and international working environment to unleash your innovative potential in diverse teams, and take responsibility for our employees, products, the environment and society.
<br><br>
Curious? Apply and find more information at come2emd.com
<br><br>
The Company is an Equal Employment Opportunity employer. No employee or applicant for employment will be discriminated against on the basis of race, color, religion, age, sex, sexual orientation, national origin, ancestry, disability, military or veteran status, genetic information, gender identity, transgender status, marital status, or any other classification protected by applicable federal, state, or local law. This policy of Equal Employment Opportunity applies to all policies and programs relating to recruitment and hiring, promotion, compensation, benefits, discipline, termination, and all other terms and conditions of employment. Any applicant or employee who believes they have been discriminated against by the Company or anyone acting on behalf of the Company must report any concerns to his/her Human Resources Business Partner, Legal, or Compliance immediately. The Company will not retaliate against any individual because he/she made a good faith report of discrimination.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Research Scientist
