,company,description,title
0,Los Angeles County Department of Human Resources,"<span class=""summary"" id=""job_summary"">EXAM NUMBER
<br>J1750H
<br>FIRST DAY OF FILING
<br>FEBRUARY 22, 2017 at 8:00 A.M. (PST)
<br>TYPE OF RECRUITMENT OPEN COMPETITIVE JOB OPPORTUNITY
<br>DEFINITION
<br>Collects, compiles, verifies, analyzes, and disseminates, and presents a large volume of statistical data where a highly-specialized knowledge of subject matter is required.
<br>CLASSIFICATION STANDARDS
<br>Positions allocable to this class typically report to a Supervising Operations Assistant I, Sheriff, and are responsible for the application of statistical methods and techniques in the collection, compilation, verification, dissemination, and presentation of statistical data. Incumbents are accountable for the accuracy of the statistical methods selected and the accuracy of the results obtained. Positions in this class serve at the journey level and are distinguished from other analyst classes by their strong emphasis on mathematical and statistical skills and requires utilization of a good working knowledge of statistical methods and principles. Incumbents conduct analyses utilizing mathematical methods such as calculus and matrix algebra, and of theories of estimation, hypothesis testing, sampling, multivariate regression and correlation, and of the design of statistical studies utilizing such theories.
<br><br>
<b>ESSENTIAL JOB FUNCTIONS:</b><br>
Determines methods of statistical analysis and applies statistical techniques.
<br>Utilizes computer data systems to compile and analyze data; interprets trends, fluctuations, and other changes in statistical data related to departmental projects or programs.
<br>Prepares reports, graphs, charts, tables, and occasionally provides oral presentations of recommendations resulting from data analyses.
<br>Provides statistical information to departmental staff and public and private agencies as assigned.
<br>Consults with program and administrative staff in the development and completion of projects, as required.
<br>Develops and maintains effective liaisons with local, State and Federal law enforcement agencies to exchange crime trend information and related statistics.
<br>Analyzes data from departmental policing jurisdictions related to calls for service, incidents, and arrests.
<br>Oversees and reviews the work of clerical personnel engaged in performing statistical-related functions, as required.
<br>Compiles, arranges, and tabulates routine statistical data from reports and records.
<br>Prepares statistical reports in accordance with established form and procedures.
<br><br>
<b>REQUIREMENTS:</b><br>
SELECTION REQUIREMENTS
<br><b>OPTION I:</b> Graduation from an accredited college or university with an Associate of Arts degree * or higher in Statistics, Mathematics, or a related field, including two semester or three quarter courses * in statistics or research methods.
<br><br>
<b>OPTION II:</b> Two (2) years of paid experience involving the compilation of statistics and the utilization of personal computer spreadsheet and word processing software programs.
<br><br>
<b>OPTION III:</b> Two (2) years of paid experience in a governmental law enforcement agency working with software packages such as word processing, statistical packages, spreadsheets, or record management systems -AND- completion of 18 semester or 24 quarter units * in Criminal Justice course work, or a related field -AND- completion of 3 semester or 4 quarter units * in statistics.
<br><br>
LICENSE
<br>A valid California Class C Driver License or the ability to utilize an alternative method of transportation when needed to carry out job-related essential functions.
<br><br>
PHYSICAL CLASS
<br><b>Physical Class II - Light :</b> Light pysical effort which may include occasional light lifting to a 10 pound limit, and some bending, stooping or squatting. Considerable walking my be involved.
<br><br>
SPECIAL REQUIREMENT INFORMATION
<br><br>
SUPPLEMENTAL QUESTIONNAIRE
<br>As part of this application process, applicants will be required to complete a supplemental questionnaire. The questionnaire contains a pre-investigative questionnaire which will be utilized as part of the background investigation process to ensure applicants meet the standards set forth by the Los Angeles County Sheriff's Department. Applicants who fail the pre-investigative questionnaire will be disqualified and will have to wait twelve (12) months from the date of the disqualification in order to reapply.
<br><br>
DESIRABLE QUALIFICATIONS
<br>Credit will be given to applicants who possess DESIRABLE qualifications and indicate so on their employment application at the time of filing .
<br><br>
A Bachelor's degree* or higher in Statistics, Mathematics, Social/Behavioral Sciences, Economics or a related field from an accredited college or university.
<br><br>
<b>ADDITIONAL INFORMATION:</b><br>
EXAMINATION CONTENT
<br><br>
<b>This examination will consist of two (2) parts:</b><br>
PART I - A written test covering knowledge of statistics, statistical calculations, data presentation, checking for errors, and reading comprehension weighted 80%.
<br><br>
Study guides and other test preparation resources are available to help candidates prepare for written employment tests. An interactive, Online Test Preparation System for taking practice tests may be accessed at the Department of Human Resources website at http://hr.lacounty.gov/ . Please click on ""Find a Job"" and then ""Job Search Toolkit."" Test Preparation Information is located under the ""Employment Test Assistance"" section. While the guides will help in preparing for the test, we advise you to review all related materials that you deem necessary.
<br><br>
A HAND HELD BATTERY/SOLAR OPERATED NON-TAPE PRODUCING CALCULATOR WILL BE PROVIDED AT THE WRITTEN EXAMINATION. USE OF MEMORY-STORAGE, SCIENTIFIC, STATISTICAL, OR FINANCIAL CALCULATORS, CELL PHONES, PERSONAL DIGITAL ASSISTANTS (PDA'S) AND ELECTRONIC DEVICES IS PROHIBITED.
<br><br>
THE WRITTEN TEST IS NOT REVIEWABLE BY CANDIDATES PER CIVIL SERVICE RULE 7.19.
<br><br>
ONLY THOSE CANDIDATES WHO PASS THE WRITTEN TEST WITH A SCORE OF 70% OR HIGHER WILL PROCEED TO PART II.
<br><br>
PART II - An evaluation of training, education, and experience based on application and desirable qualifications weighted 20%.
<br><br>
CANDIDATES MUST ACHIEVE A PASSING SCORE OF 70% OR HIGHER ON THE EXAMINATION IN ORDER TO BE PLACED ON THE ELIGIBLE LIST.
<br><br>
Invitation letters will be sent electronically to the email address provided on the application. It is important that applicants provide a valid email address. Please add cdorado@lasd.org to your email address book and to the list of approved senders to prevent email notifications from being filtered as spam/junk/ clutter mail.
<br><br>
Notice of Non-Acceptance and Final Result letter will be mailed via USPS. Test scores cannot be given over the phone.
<br><br>
ELIGIBILITY INFORMATION
<br>The names of candidates receiving a passing grade in the examination will be placed on the eligible list in the order of their score group for a period of twelve (12) months following the date of promulgation.
<br><br>
SPECIAL INFORMATION
<br><br>
SUCCESSFUL CANDIDATES MUST COMPLETE A THOROUGH BACKGROUND INVESTIGATION, INCLUDING FINGERPRINT SEARCH . Examples of disqualifying factors include: Any felony convictions; job related misdemeanor convictions; certain serious traffic convictions or patterns of traffic violations (3 moving violations in one year; failure to appear; at fault accidents suspended license; driving under the influence); poor credit history; poor employment history; substance abuse; anyone on criminal probation.
<br><br>
VACANCY INFORMATION
<br>The eligible list resulting from this examination will be used to fill vacancies within the Los Angeles County Sheriff's Department.
<br><br>
AVAILABLE SHIFT Any Shift
<br><br>
APPOINTEES MUST BE WILLING TO WORK ANY SHIFT, INCLUDING EVENINGS, NIGHTS, WEEKENDS, AND HOLIDAYS.
<br><br>
APPLICATION AND FILING INFORMATION
<br><br>
APPLICATIONS MUST BE FILED ONLINE ONLY - APPLICATIONS SUBMITTED BY U.S. MAIL, FAX, OR IN PERSON WILL NOT BE ACCEPTED.
<br><br>
All applicants are required to submit a Standard County of Los Angeles Employment application and supplemental questionnaire ONLINE only. Resumes cannot be accepted in lieu of applications, although resumes and supporting documents may be uploaded as attachments to the online application.
<br><br>
Fill out your application and supplemental questionnaire completely. Provide any relevant education, training, and experience in the spaces provided so we can evaluate your qualifications for the job. All information is subject to verification and applications may be rejected at any time during the selection process.
<br><br>
The acceptance of your application depends on whether you have clearly shown that you meet the SELECTION REQUIREMENTS and you have completely filled out your application.
<br><br>
Apply online by clicking on the green "" Apply "" button at the top right of this posting. You can also track the status of your application using this website. Your application and supplemental questionnaire must be submitted electronically by 5:00 p.m., PST, on the last day of filing.
<br><br>
<b>IMPORTANT NOTES:</b><br>
Please note that All information included in the application materials is subject to VERIFICATION at any point during the examination and hiring process, including after an appointment has been made.
<br>FALSIFICATION of any information may result in DISQUALIFICATION or RESCISSION OF APPOINTMENT .
<br>Utilizing VERBIAGE from Class Specification and Selection Requirements serving as your description of duties WILL NOT be sufficient to demonstrate that you meet the requirements. Doing so may result in an INCOMPLETE APPLICATION and you may be DISQUALIFIED. * In order to receive credit for the required degree and required coursework, you must include a legible copy of the OFFICIAL transcripts, from the accredited institution which shows the area of specialization, with your online application at the time of filing, or within 15 calendar days from the date of filing your online application. Failure to provide the required documentation will result in application rejection.
<br><br>
<b>NOTE:</b> Candidates who apply online must upload any required documents as attachments during application submission. If you are unable to attach required documents, you may fax the documents to (323) 415-2580 at the time of filing or within 15 calendar days from the date of filing the application. Failure to provide the required documentation will result in application rejection. Please include your Name, the Exam Number, and the Exam Title on the faxed documents.
<br><br>
<b>SOCIAL SECURITY NUMBER:</b><br>
Please include your Social Security Number for record control purposes. Federal law requires that all employed persons have a Social Security Number.
<br><br>
<b>COMPUTER AND INTERNET ACCESS AT LIBRARIES:</b><br>
For candidates who may not have regular access to a computer or the internet, applications can be completed on computers at public libraries throughout Los Angeles County.
<br><br>
<b>NO SHARING OF USER ID AND PASSWORD:</b><br>
All applicants must file their application online using their own user ID and password. Using a family member or friend's user ID and password may erase a candidate's original application record.
<br><br>
<b>California Relay Services Phone:</b> (800) 735-2922
<br><b>ADA Coordinator Phone:</b> (213) 229-1621
<br><b>Teletype Phone:</b> (213) 626-0251
<br><b>Department Contact Name:</b> Professional Examinations Unit
<br><b>Department Contact Phone:</b> (323) 526-5611
<br><b>Department Contact Email:</b> sheriffexamsunit@lasd.org</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>","STATISTICAL ANALYST, SHERIFF"
1,Los Angeles County Human Resources,"<span class=""summary"" id=""job_summary"">Determines methods of statistical analysis and applies statistical techniques.
<br>Utilizes computer data systems to compile and analyze data; interprets trends, fluctuations, and other changes in statistical data related to departmental projects or programs.
<br>Prepares reports, graphs, charts, tables, and occasionally provides oral presentations of recommendations resulting from data analyses.
<br>Provides statistical information to departmental staff and public and private agencies as assigned.
<br>Consults with program and administrative staff in the development and completion of projects, as required.
<br>Develops and maintains effective liaisons with local, State and Federal law enforcement agencies to exchange crime trend information and related statistics.
<br>Analyzes data from departmental policing jurisdictions related to calls for service, incidents, and arrests.
<br>Oversees and reviews the work of clerical personnel engaged in performing statistical-related functions, as required.
<br>Compiles, arranges, and tabulates routine statistical data from reports and records.
<br>Prepares statistical reports in accordance with established form and procedures.
<br>Requirements
<br><br>
SELECTION REQUIREMENTS
<br><b>OPTION I:</b> Graduation from an accredited college or university with an Associate of Arts degree * or higher in Statistics, Mathematics, or a related field, including two semester or three quarter courses * in statistics or research methods.
<br><br>
<b>OPTION II:</b> Two (2) years of paid experience involving the compilation of statistics and the utilization of personal computer spreadsheet and word processing software programs.
<br><br>
<b>OPTION III:</b> Two (2) years of paid experience in a governmental law enforcement agency working with software packages such as word processing, statistical packages, spreadsheets, or record management systems -AND- completion of 18 semester or 24 quarter units * in Criminal Justice course work, or a related field -AND- completion of 3 semester or 4 quarter units * in statistics.
<br><br>
LICENSE
<br>A valid California Class C Driver License or the ability to utilize an alternative method of transportation when needed to carry out job-related essential functions.
<br><br>
PHYSICAL CLASS
<br><b>Physical Class II - Light :</b> Light pysical effort which may include occasional light lifting to a 10 pound limit, and some bending, stooping or squatting. Considerable walking my be involved.
<br><br>
SPECIAL REQUIREMENT INFORMATION
<br><br>
SUPPLEMENTAL QUESTIONNAIRE
<br>As part of this application process, applicants will be required to complete a supplemental questionnaire. The questionnaire contains a pre-investigative questionnaire which will be utilized as part of the background investigation process to ensure applicants meet the standards set forth by the Los Angeles County Sheriff's Department. Applicants who fail the pre-investigative questionnaire will be disqualified and will have to wait twelve (12) months from the date of the disqualification in order to reapply.
<br><br>
DESIRABLE QUALIFICATIONS
<br>Credit will be given to applicants who possess DESIRABLE qualifications and indicate so on their employment application at the time of filing .
<br><br>
A Bachelor's degree* or higher in Statistics, Mathematics, Social/Behavioral Sciences, Economics or a related field from an accredited college or university.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>","STATISTICAL ANALYST, SHERIFF"
2,Google,"<span class=""summary"" id=""job_summary"">The Business Strategy &amp; Operations organization provides business critical insights using analytics, ensures cross functional alignment of goals and execution, and helps teams drive strategic partnerships and new initiatives forward. We stay focused on aligning the highest-level company priorities with strong day-to-day operations, and help evolve early stage ideas into future-growth initiatives.
<br>
<br>
The Advanced Statistical Modeling group is a part of the Google Marketing Solutions (GMS) Revenue Innovations team. Our responsibilities include building the recommendation engine for the GMS Sales force to increase their impact and efficiency, as well as answer numerous business questions using predictive modeling and data analysis.
<br>
<br>
You will have the chance to build advanced statistical models and launch them into production, learn and apply modern machine learning techniques and sharpen your skills to answer major business questions using statistical modeling/data mining. You will see how the power of statistical analysis and modeling drives a large impact on Googleâs business.
<br>
<br>
When our millions of advertisers and publishers are happy, so are we! Our team of entrepreneurial, enthusiastic and client-focused team members are the ""human face"" of Google, helping entrepreneurs both individually and broadly build their online presence and grow their businesses. We are dedicated to growing the unique needs of advertising companies. Our teams of strategists, analysts, advisers and support specialists collaborate closely to spot and analyze customer needs and trends. Together, we create and implement business plans broadly for every type of businesses.
<br>
<br>
<b>Responsibilities
</b><ul><li>Build predictive models and help launch them into production.
</li><li>Answer business questions through data analysis, statistical modeling and data mining.
</li><li>Help the team with methodology and guidance in the areas of experiment design and data analysis.
</li></ul><br>
<b>Qualifications
</b>Minimum qualifications:
<ul><li>BA/BS degree or equivalent practical experience.
</li><li>2 years of experience in statistical modeling, data mining and data analysis.
</li><li>Experience with languages R and SQL.
</li></ul><br>
Preferred qualifications:
<ul><li>MBA or MA/MS/PhD degree in Statistics.
</li><li>Experience programming in Python
</li><li>Distinctive problem solving, analysis skills and impeccable business judgment.
</li><li>Capable of translating analysis results into business recommendations.
</li><li>Strong written and verbal communication skills.</li></ul></br></br></br></br></br></br></br></br></br></br></span>",Data Scientist
3,Google,"<span class=""summary"" id=""job_summary"">At Google, data drives all of our decision-making. Quantitative Analysts work all across the organization to help shape Google's business and technical strategies by processing, analyzing and interpreting huge data sets. Using analytical rigor and statistical methods, you mine through data to identify opportunities for Google and our clients to operate more efficiently, from enhancing advertising efficacy to network infrastructure optimization to studying user behavior. As an analyst, you do more than just crunch the numbers. You work with Engineers, Product Managers, Sales Associates and Marketing teams to adjust Google's practices according to your findings. Identifying the problem is only half the job; you also figure out the solution.
<br>
<br>
As a key member of the team, you work with engineers to analyze and interpret data, develop metrics to measure results and integrate new methodologies into existing systems.
<br>
<br>
Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to tackle some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From AdWords to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.
<br>
<br>
<b>Responsibilities
</b><ul><li>Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed; Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
</li><li>Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive understanding of Google data structures and metrics, advocating for changes where needed for both products development and sales activity.
</li><li>Interact cross-functionally with a wide variety of people and teams. Work closely with engineers to identify opportunities for, design, and assess improvements to Google products.
</li><li>Make business recommendations (e.g. cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
</li><li>Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products; example application areas include ads quality, search quality, end-user behavioral modeling, and live experiments.
</li></ul><br>
<b>Qualifications
</b>Minimum qualifications:
<ul><li>PhD degree in a quantitative discipline (e.g. statistics, bioinformatics, computational biology, computer science, applied mathematics, or similar) or equivalent practical experience.
</li><li>2 years of experience in data analysis or related field.
</li><li>Experience with statistical software (R, S-Plus, SAS, or similar).
</li><li>Experience with databases and scripting languages (such as Python).
</li></ul><br>
Preferred qualifications:
<ul><li>1 year of relevant work experience (i.e., data scientist role), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.
</li><li>Experience with Survey Sampling.
</li><li>Ability to draw conclusions from data and recommend actions.
</li><li>Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques.</li></ul></br></br></br></br></br></br></br></br></span>","Data Scientist/Quantitative Analyst, Engineering, University Graduate"
4,Appriss,"<span class=""summary"" id=""job_summary"">This position is located in our office in Irvine, California.
<br>
<br>
Key job elements:
<br>
• Assist clients with product performance questions
<br>
• Monitor and improve current processes
<br>
• Present results from these analyses to management, communicate issues to and from clients, and coordinate resolution of those issues.
<br>
• Monitor the system’s business performance, identify areas for improvement and assist in the identification and tracking of issues
<br>
• Develop, maintain, and perform general data analysis utilizing SAS
<br>
• Work with large datasets
<br>
<br>
Necessary skills for this position include:
<br>
• SAS proficiency is a must (4+ years of work experience using SAS)
<br>
• Experience working in an analytics position for at least 4 years
<br>
• Degree with coursework in statistics
<br>
• Demonstrated ability to apply statistical knowledge to analyze data with SAS to identify trends, outliers, develop/evaluate predictive models, create reports, automate processes
<br>
• Proficiency in PowerPoint &amp; Excel
<br>
• Good verbal and written communication skills
<br>
• Ability and willingness to work with a team
<br>
• Proven ability to work on time-sensitive deliverables
<br>
<br>
Additional preferred skills include:
<br>
• Ability to build models and utilize statistical methods such as: logistic regression, linear regression, regression trees, and other modeling technique
<br>
• SQL and other programming languages
<br>
• Knowledge of working with large datasets
<br>
• Strong time management skills</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",SAS Analyst / Statistician
5,Hulu,"<span class=""summary"" id=""job_summary"">Hulu is a premium streaming TV destination that seeks to captivate and connect viewers with the stories they love. We create amazing experiences that celebrate the best of entertainment and technology. We’re looking for great people who are passionate about redefining TV through innovation, unconventional thinking and embracing fun. It’s a mission that takes some serious smart, intense curiosity and determination to be the best. Come be part of the team that’s powering play. SUMMARY
<br>Hulu’s Product Management team is seeking a Product Data Analyst who will be an exceptional addition to our team. Our ideal team member is someone who loves the hard problem of turning mounds of data into data stories, reports, and dashboards that business people and technical people can easily understand and can use to answer critical business questions. Using your own knowledge of industry best practices, you will identify the key metrics that drive decisions and measure performance at Hulu to influence overall business strategy and product management efforts. You should love business analysis, analytics, data modeling, query writing, and report development. This isn’t a job to own some boring tools or to create charts that nobody uses. This is an opportunity to help revolutionize how Hulu leverages its data to make decisions and to play a key role in the evolution of Hulu’s internal reporting and reporting tools towards a relevant, dynamic and insightful standard. If you are someone who loves empowering others with data and thrives on helping people find and understand the information they need at the moment they need it, then this is a great role for you. WHAT YOU’LL DO
<br>Gather, manipulate, analyze and document raw, complex data and share data stories that make sense to business and technical audiences
<br>Serve as tactical liaison for product management teams to provide the most accurate and relevant information to help drive meaningful business decisions
<br>Continually design, test, and deploy new reports - all with the goal of providing a state-of-the-art reporting environment
<br>Respond to ad-hoc reporting needs while ensuring data accuracy and integrity WHAT TO BRING
<br>BS or MS in a Technical Degree or awesome experience in showing you can geek out on reporting and analytics
<br>3-5+ years of experience as a Business Systems Analyst, Reporting Analysts, Business Intelligence Analyst, or similar field
<br>Experience with standard report development methodologies, both front-end and back-end processes
<br>Experience building reports and dashboards that are meaningful to drive business decisions
<br>Sample Portfolio of reports, dashboards, and data visualizations that you have created
<br>Passion for turning data into insights and helping others unlock the power of their data
<br>Good influencing skills with a positive attitude and a proactive / self-starter mindset SKILLS
<br>Proven ability to clearly articulate data stories to business and technical audiences
<br>Excellent oral and written communication skills.
<br>Proficiency and solid foundation in statistics
<br>Advanced level of proficiency in Microsoft Excel (including Pivot Tables and VLookup) and Microsoft Powerpoint
<br>Proficiency at SQL Query development (MySQL, MSSQL)
<br>Proficiency with business intelligence dashboarding tools like Tableau, Looker, Jaspersoft, Cognos, Business Objects, Crystal Reports or similar
<br>Experience working with data in formats like CSV, JSON, and XML
<br><b>Experience with scripting languages:</b> BASH, Python, Perl or programming languages Java
<br>NICE-TO-HAVES
<br>Experience with streaming media metrics and KPIs
<br>Experience with newer technologies such as Hadoop, MapReduce, HIVE, Kafka, and Cassandra.
<br>Experience with data visualization libraries such as D3.js and NVD3.js
<br>Experience with near-time data collection and dashboard libraries such as Graphite and Grafana
<br><ul>
<li>LI-SM1</li>
</ul>
</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Product Data Analyst
6,Facebook,"<span class=""summary"" id=""job_summary"">WhatsApp is the world's fastest growing communication company with over 1 billion active users globally. We help bring friends, families, communities, soccer groups, doctors, storm chasers, and million of others together. We are just getting started. We are looking for the best individuals to grow and support this incredible community of users. WhatsApp has been ranked as one of the Top 25 Most downloaded apps in over 100 countries on the App Store and has received over 1 Billion installs on Google Play.
<br><br>
WhatsApp is seeking a talented Data Scientist to join the WhatsApp Business and Analytics Team. If you are intellectually curious, love pouring over data to discover insights and piece together the stories its telling you, are committed to translating insights into action, want new challenges daily and impact the lives of hundreds of millions of users globally, this is the role for you!
<br><br>
This position is a generalist role and could involve analytics, modeling, business operations and/or partnerships among other things. You must have flexibility to adapt to changing priorities, business and organizational needs. In addition, you must have the ability to operate independently in a fast-paced, small but growing environment and work proactively with various teams across the organization, including engineering, product, business, customer support, human resources, finance and legal. This is a full-time position based with the WhatsApp team at Facebook HQ in Menlo Park, California and will report to WhatsAppâs Head of Growth &amp; Partnerships. Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with our core/business products
<br>Partner with Product and Engineering teams to solve problems and identify trends and opportunities
<br>Inform, influence, support, and execute our product decisions and product launches.
<br>The Data Scientist Analytics role has work across the following four areas:
<br>Data Infrastructure
<br>Working in hadoop and hive primarily, sometimes mysql, oracle, and vertica
<br>Authoring pipelines via SQL and python based ETL framework
<br>Building key data sets to empower operational and exploratory analysis
<br>Automating analyses
<br>Product Operations
<br>Setting goals
<br>Designing and evaluating experiments monitoring key product metrics, understanding root causes of changes in metrics
<br>Building and analyzing dashboards and reports
<br>Exploratory Analysis
<br>Proposing what to build in the next roadmap
<br>Understanding ecosystems, user behaviors, and long-term trends
<br>Identifying levers to help move key metrics
<br>Evaluating and defining metrics
<br>Building models of user behaviors for analysis or to power production systems
<br>Product Leadership
<br>Influencing product teams through presentation of work
<br>Communicating of state of business, experiment results, etc to product teams
<br>Spreading best practices to analytics and product teams 4+ yearsâ experience doing quantitative analysis.
<br>BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field. Advanced degrees preferred.
<br>Experience in SQL or other programming languages.
<br>Development experience in at least one scripting language (PHP, Python, Perl, etc.).
<br>Ability to initiate and drive projects to completion with minimal guidance
<br>Ability to communicate the results of analyses in a clear and effective manner
<br>Basic understanding of statistical analysis.
<br>Experience with a statistical package such as R, MATLAB, SPSS, SAS, Stata, etc.
<br>Experience with an Internet-based company.
<br>Experience with data sets and distributed computing (Hive/Hadoop). As part of our dedication to the diversity of our workforce, Facebook is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion.
<br><br>
We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com or you may call us at 1+650-308-7837.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>","Data Scientist, Analytics"
7,HIRECLOUT,"<span class=""summary"" id=""job_summary"">We are a well-established health and wellness company looking for a seasoned Product Data Analyst. The selected candidate will contribute an informationally motivated viewpoint and deliver significant insights to influence essential company decisions.
<br><br>
<b>Responsibilities:</b><br>
Comb through product data and interpret analytics in an effort to understand user behaviors and product usage.
<br>Perform exploratory analyses to identify opportunities to improve our product and make it more engaging for our users.
<br>Sustain large-scale A/B testing and multivariate testing to provide in-depth insights on how we can improve user experience
<br>Collaborate directly with the Product Team to build data-driven solutions and KPIs
<br>Design dashboards, visualizations and granular datasets that provide actionable insights on product interactions and user engagement.
<br>Find and implement efficiencies through the automation of repetitive tasks
<br><br>
<b>Qualifications:</b><br>
BA or BS degree in Statistics, Computer Science, Mathematics or Engineering.
<br>3-6 years of professional experience in a Consumer Product company.
<br>Ability to excel in a startup environment; the capability of working independently when necessary.
<br>Strong SQL, Excel and quantitative skills.
<br>Experience with big data and/or complex data sets.
<br>Experience with Redshift/PostgreSQL and Looker (or applicable) skills required.
<br>Experience using tools such as Optimizely, Google Analytics, Omniture, and/or Localytics
<br>Skill and some development experience in at least one scripting language; Python is ideal.
<br><b>Analytically minded:</b> a resourceful and structured problem solver with the ability to thoughtfully evaluate data with a critical eye.
<br>Excellent communication skills; able to easily communicate the results of analyses in a clear and effective manner.
<br>Analytics experience across mobile and web platforms.
<br>Experience performing analysis within a subscription business model.
<br>Passion for meditation or digital health and wellness.
<br>Experience in a consumer-centric content company is a plus</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Product Data Analyst
8,California Health & Wellness,"<span class=""summary"" id=""job_summary"">The Health Care Analyst provides analytic support to one or multiple departments and develops a variety of complex ad hoc, production and/or trend reports to support business decisions and operational processes for internal and external customers.
<br>
<br>
<li>Meets with customers to design financial, clinical, or operational reports
<br>
</br></li><li>Manipulates and extracts cost, utilization, and other data to develop reports and trends
<br>
</br></li><li>Summarizes and formats information using tables, graphs and other styles to support decision-making
<br>
</br></li><li>Analyzes, researches, and interprets results, variances, and trends
<br>
</br></li><li>Documents report specifications and communicates findings to customers
<br>
</br></li><li>Designs, develops, documents and maintains databases to aid reporting and processes
<br>
</br></li><li>Verifies accuracy of data
<br>
</br></li><li>May ensure reports are reviewed for regulatory reporting requirements
<br>
</br></li><li>Supports the development of online management information systems and standardized reports
<br>
</br></li><li>May recommend operational changes or actions based on analytical conclusions
</li><br>
</br></br></br></span>",Health Care Analyst (Huntington Beach)
9,Google,"<span class=""summary"" id=""job_summary"">Verily Life Sciences is focused on shifting health care from a reactive, undifferentiated approach to a proactive, targeted approach by transforming the detection, prevention, management and even our basic understanding of disease.
<br>
<br>
As a Quantitative Analyst/Data Scientist/Statistician for Verily, you will perform statistical analyses of large, diverse, and complex data sets. In this position, you will bring analytical rigor and statistical methods to the challenges of measuring humans and improving healthcare. To do this, you deliver key analyses for motivating product direction, build re-usable analysis tools, and work closely with software engineers, product managers, and clinicians to deliver user facing products.
<br>
<br>
The Verily Life Sciences team is focused on helping to move healthcare from reactive to proactive. Combining expertise from the fields of biology, chemistry, physics, medicine, electrical engineering, computer science, weâre developing new technology tools for physicians that can integrate easily into daily life and help transform the detection, prevention, and management of disease. Current projects in development include a smart contact lens with miniaturized glucose sensor ; a nanodiagnostics platform to help with early detection of disease ; and Liftware utensils for people with tremor. For more information, please see our website .
<br>
<br>
<b>Responsibilities
</b><ul><li>Work with large, complex data sets. Solve difficult, non-routine analysis problems.
</li><li>Apply advanced statistical methods.
</li><li>Develop quality control and pre-processing tools for a broad range of data types.
</li><li>Communicate highly technical results and methods clearly.
</li><li>Interact cross-functionally with a wide variety of people and teams.
</li></ul><br>
<b>Qualifications
</b>Minimum qualifications:
<ul><li>PhD degree in a quantitative discipline (e.g. statistics, bioinformatics, computational biology, computer science, applied mathematics, or similar) or equivalent practical experience.
</li><li>Experience with R, Python, Java, C++, or similar.
</li><li>Experience with statistical data analysis such as linear models, multivariate analysis, predictive modeling, and stochastic models. Experience extracting and cleaning data sets.
</li></ul><br>
Preferred qualifications:
<ul><li>1 year of relevant work experience (i.e. as a statistician, computational biologist, bioinformatician, data scientist), including deep expertise and experience with statistical data analysis.
</li><li>Experience with the analysis of observational clinical data.
</li><li>Familiarity with software engineering practices and experience developing production software.
</li><li>Demonstrated willingness to both teach others and learn new techniques.</li></ul></br></br></br></br></br></br></br></br></span>","Quantitative Analyst/Data Scientist/Statistician, Verily Life Sciences"
