,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,onmousedown,snippet,source,sponsored,state,stations,url
0,Burbank,Kaiser Permanente,US,"Wed, 22 Feb 2017 00:08:47 GMT",False,"Burbank, CA","Burbank, CA",1 hour ago,False,fdbd1113c5011d69,Market Data Analyst - Undergraduate Internship,"indeed_clk(this,'5647');",Aptitude to perform <b>data</b> and process analytics and formulating solutions. Lay the groundwork for a dynamic future with an industry leader....,Kaiser Permanente,False,CA,,http://www.indeed.com/viewjob?jk=fdbd1113c5011d69&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
1,Oakland,Clorox,US,"Mon, 06 Feb 2017 23:25:16 GMT",False,"Oakland, CA","Oakland, CA 94612",15 days ago,False,456e90c7ee9c4936,Global Insights Data Analyst Data Science Internship,"indeed_clk(this,'5647');","The Global Insights <b>Data</b> <b>Analyst</b> (GIDA), <b>Data</b> Science is responsible for leveraging structured &amp; unstructured consumer <b>data</b> along with other <b>data</b> sources to...",The Clorox Company,False,CA,,http://www.indeed.com/viewjob?jk=456e90c7ee9c4936&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
2,Redwood City,Proteus Digital Health,US,"Fri, 17 Feb 2017 04:08:45 GMT",False,"Redwood City, CA","Redwood City, CA 94065",4 days ago,False,676ec709d44d20b9,Data Analyst Intern,"indeed_clk(this,'5647');","Mine, clean, and categorize historical <b>data</b>. Working toward a graduate degree in <b>Data</b> Science, Computer Science, Statistics, Bioengineering, or a related...",Proteus Digital Health,False,CA,,http://www.indeed.com/viewjob?jk=676ec709d44d20b9&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
3,Santa Clara,GLOBALFOUNDRIES,US,"Wed, 08 Feb 2017 07:12:14 GMT",False,"Santa Clara, CA","Santa Clara, CA",13 days ago,False,2597a304d86609fc,Data Analyst-Intern,"indeed_clk(this,'5647');","<b>Data</b> analysis and validation. Database and <b>data</b> integration development. Contribute ideas and <b>data</b> analyses to complex, high-profile, large capital projects....",GLOBALFOUNDRIES,False,CA,,http://www.indeed.com/viewjob?jk=2597a304d86609fc&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
4,San Francisco,Samasource,US,"Fri, 17 Feb 2017 03:46:33 GMT",False,"San Francisco, CA","San Francisco, CA",4 days ago,False,e726041a4f3ec15b,Project/Data Analyst Internship,"indeed_clk(this,'5647');",The <b>analyst</b> intern analyzes project performance in and prepares reports to internal and external customers....,Samasource,False,CA,,http://www.indeed.com/viewjob?jk=e726041a4f3ec15b&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
5,San Jose,Cadence Design Systems,US,"Sat, 04 Feb 2017 00:47:26 GMT",False,"San Jose, CA","San Jose, CA 95134",18 days ago,False,59655ca490e53147,Supplier Data Analyst Intern,"indeed_clk(this,'5647');",Database <b>data</b> entry. Review existing reports for missing <b>data</b> where having the <b>data</b> would be useful. Manual analysis of <b>data</b>....,Cadence Design Systems,False,CA,,http://www.indeed.com/viewjob?jk=59655ca490e53147&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
6,Irvine,Cox Automotive,US,"Wed, 01 Feb 2017 15:01:08 GMT",False,"Irvine, CA","Irvine, CA",20 days ago,False,e48b47bb5c57ec28,Data Analyst Intern (Summer 2017),"indeed_clk(this,'5647');",The <b>Data</b> <b>Analyst</b> is responsible for. Reporting through <b>data</b> extraction and <b>data</b> validation activities. Using the digital <b>data</b>....,Cox Automotive,False,CA,,http://www.indeed.com/viewjob?jk=e48b47bb5c57ec28&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
7,Oakland,Kaiser Permanente,US,"Tue, 21 Feb 2017 18:08:46 GMT",False,"Oakland, CA","Oakland, CA",7 hours ago,False,25f36538d64c4872,Programming & Data Analyst Intern - Undergraduate Internship,"indeed_clk(this,'5647');","Aptitude to perform <b>data</b> and process analytics and formulating solutions. The Information, Analytics &amp; Compliance Technology team supports compliance, fraud...",Kaiser Permanente,False,CA,,http://www.indeed.com/viewjob?jk=25f36538d64c4872&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
8,San Diego,BofI Federal Bank,US,"Wed, 08 Feb 2017 03:01:52 GMT",False,"San Diego, CA","San Diego, CA",13 days ago,False,2db05adbde9246df,Data Analyst Intern (Spring),"indeed_clk(this,'5647');","The ideal <b>data</b> <b>analyst</b> candidate is curious, creative, highly numerate, and tackles real-world problems using quantitative models....",BofI Federal Bank,False,CA,,http://www.indeed.com/viewjob?jk=2db05adbde9246df&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
9,Oakland,Kaiser Permanente,US,"Thu, 16 Feb 2017 23:56:25 GMT",False,"Oakland, CA","Oakland, CA",5 days ago,False,74a2d4ad58e900c1,Data Analyst Master's Intern,"indeed_clk(this,'5647');",<b>Data</b> collection experience. Aptitude to perform <b>data</b> and process analytics and formulating solutions. Lay the groundwork for a dynamic future with an industry...,Kaiser Permanente,False,CA,,http://www.indeed.com/viewjob?jk=74a2d4ad58e900c1&qd=N2J-naHqk5bSExrJs-uSyH9HAx4PLUCTZQfXawpJOgkOVqMCVMkmCS8enUuplbB-4rYdC8l5t_9_l80gUVoC8ASNtTMq3B26cxHbEL5qrrg1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=254802918413674&atk=1b9hm0f13af35cn0
