,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
0,Livermore,Lawrence Livermore National Laboratory,US,"Fri, 24 Feb 2017 23:52:25 GMT",False,"Livermore, CA","Livermore, CA 94550",4 days ago,False,1fb496f2a81a532d,Materials Scientist/Physicist,37.687107,-121.70588,"indeed_clk(this,'1142');","Work independently in areas such as <b>materials</b> development, <b>materials</b> processing, and <b>materials</b> characterization to resolve process problems and improve or...",Lawrence Livermore National Laboratory,False,CA,,http://www.indeed.com/viewjob?jk=1fb496f2a81a532d&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
1,Santa Clara,Intel,US,"Wed, 08 Feb 2017 11:14:27 GMT",False,"Santa Clara, CA","Santa Clara, CA 95052",20 days ago,False,627480b3134a4055,R&D Process Engineer,37.354397,-121.95055,"indeed_clk(this,'1142');","MS or PhD in physics, chemistry, <b>materials</b> <b>science</b>, process engineering. Good knowledge of standard <b>materials</b> analysis techniques....",Intel,False,CA,,http://www.indeed.com/viewjob?jk=627480b3134a4055&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
2,Palo Alto,Tesla Motors,US,"Tue, 07 Feb 2017 17:05:15 GMT",False,"Palo Alto, CA","Palo Alto, CA",21 days ago,False,9f7da223924f83a2,Reliability Engineer - Failure Analysis,37.43956,-122.14286,"indeed_clk(this,'1142');","In <b>Materials</b> <b>Science</b>, EE, ME, Physics with industry experience; Knowledge and hands on experience with failure analysis and <b>materials</b> characterization...",Tesla Motors,False,CA,,http://www.indeed.com/viewjob?jk=9f7da223924f83a2&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
3,Hawthorne,SpaceX,US,"Thu, 03 Nov 2016 00:40:33 GMT",False,"Hawthorne, CA","Hawthorne, CA 90250",30+ days ago,False,c741033efc34ce19,Materials Engineer (Avionics),33.921432,-118.32665,"indeed_clk(this,'1142');","Bachelor’s degree in <b>Materials</b> <b>Science</b>, <b>Materials</b> Engineering, Chemical Engineering, Physics or Electrical Engineering. <b>Materials</b> Engineer (Avionics)....",SpaceX,False,CA,,http://www.indeed.com/viewjob?jk=c741033efc34ce19&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
4,Mountain View,Google,US,"Wed, 22 Feb 2017 16:06:00 GMT",False,"Mountain View, CA","Mountain View, CA",6 days ago,False,c9b5da54fe07a9ee,"Reliability Engineer, Failure Analysis and Materials Lab",37.384617,-122.08242,"indeed_clk(this,'1142');","Use <b>materials</b> expertise to help select <b>materials</b> and specify testing for <b>materials</b> qualification. PhD in <b>Materials</b> <b>Science</b>, Electrical Engineering, Mechanical...",Google,False,CA,,http://www.indeed.com/viewjob?jk=c9b5da54fe07a9ee&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
5,Milpitas,SanDisk,US,"Mon, 30 Jan 2017 09:23:22 GMT",False,"Milpitas, CA","Milpitas, CA",29 days ago,False,e88520029a315258,"Staff Engineer, R&D Engineering",37.425823,-121.90659,"indeed_clk(this,'1142');","Requires MS degree in Electrical Engineering, <b>Materials</b> <b>Science</b>, Applied Physics, Physics, or equivalent with 3 or more years of related experience....",SanDisk,False,CA,,http://www.indeed.com/viewjob?jk=e88520029a315258&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
6,San Jose,Synaptics,US,"Mon, 31 Oct 2016 22:03:23 GMT",False,"San Jose, CA","San Jose, CA 95131",30+ days ago,False,801b887c644a3684,Research Scientist,37.39169,-121.890755,"indeed_clk(this,'1142');","About Synaptics Synaptics is the pioneer and leader of the human interface revolution, bringing innovative and intuitive user experiences to intelligent",Synaptics,False,CA,,http://www.indeed.com/viewjob?jk=801b887c644a3684&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
7,San Diego,Otter Products,US,"Wed, 18 Jan 2017 21:54:02 GMT",False,"San Diego, CA","San Diego, CA",30+ days ago,False,9e8ee2c35ce4f7b7,"Product Testing Engineer (San Diego, CA)",32.714287,-117.15385,"indeed_clk(this,'1142');",We need someone with an excellent understanding of <b>materials</b> <b>science</b> and mechanics of <b>materials</b>. Bachelors of <b>Science</b> in Mechanical Engineering (BSME) or...,Otter Products,False,CA,,http://www.indeed.com/viewjob?jk=9e8ee2c35ce4f7b7&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
8,Milpitas,SanDisk,US,"Fri, 06 Jan 2017 10:38:05 GMT",False,"Milpitas, CA","Milpitas, CA",30+ days ago,False,50ac1f838bff4ef4,"Staff Engineer, Process Engineering Job",37.425823,-121.90659,"indeed_clk(this,'1142');","This is a New College Graduate (NCG) position seeking a recent PhD graduate with a major in <b>Materials</b> <b>Science</b> &amp; Engineering, Chemical Engineering or equivalent...",SanDisk,False,CA,,http://www.indeed.com/viewjob?jk=50ac1f838bff4ef4&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
9,San Diego,EMD,US,"Tue, 21 Feb 2017 23:58:19 GMT",False,"San Diego, CA","San Diego, CA",7 days ago,False,b0ef22cf22bb9be9,Research Scientist,32.714287,-117.15385,"indeed_clk(this,'1142');","Or BS in Chemistry, Metallurgy or <b>Materials</b> <b>Science</b> with &gt;10 years of experience in electronic packaging. PhD in Chemistry, Metallurgy or <b>Materials</b> <b>Science</b> with...",EMD,False,CA,,http://www.indeed.com/viewjob?jk=b0ef22cf22bb9be9&qd=N2J-naHqk5bSExrJs-uSyPHx32XqMlw_eEIUZ5NFHC1qnQ78wPGwaSI3ifuEursTVvJtikd3Mkcoj7yvXQciQVMnldyzbl4wYjZnXI4316Aep6I5-twM7jC8td-9rGTG&indpubnum=254802918413674&atk=1ba48kb3oaghkfel
