,company,description,title
0,Visa,"<span class=""summary"" id=""job_summary"">Job Description
<br><br>
We're looking for an experienced Data Analyst to spearhead advanced analytics and reporting for TrialPay. Given a set of project requirements, you should be able to implement data mining and visualization techniques, as well as provide statistical analysis and post-campaign analysis for targeted marketing campaigns. You'll also be responsible for data integration among diverse data resources. In general, you are able to provide sound methods and identify key results to support strategic decisions. Ideally, you have fantastic communication and presentation skills, and you can work effectively and efficiently with everyone from fellow data scientists to business partners.
<br><br>
Responsibilities
<br>Develop and implement business-application-based datamarts, data collection systems, data analytics, data sanitizing and other strategies that optimize statistical efficiency and quality for business processes
<br>Implement marketing campaign analysis including pre-campaign audience targeting, in-campaign performance monitoring, and post-campaign analysis
<br>Acquire and integrate data from multiple data sources
<br>Identify, analyze and interpret trends and patterns for large complex datasets using statistical techniques
<br>Work with management to prioritize business and information needs
<br>Explore and define new process improvement opportunities
<br>Present ongoing reports and findings to management and business partners
<br>Job Perks
<br>Competitive salary, comprehensive medical benefits, and 401(k) matching
<br>Free meals, snacks, beverages, and on-site fitness classes
<br>Friendly and collaborative open office environment
<br>Visa stock purchasing plan
<br>Ping-pong, hackathons, rooftop happy hours, and team-building offsites
<br>Offices in downtown San Francisco (close to BART) and Palo Alto (close to Caltrain)
<br><b>To learn more about us, visit us at:</b> http://www.trialpay.com/about/company/ Qualifications
<br><br>
BS or MS in Statistics, Mathematics, Computer Science, Economics, Engineering, or other related field
<br>3+ years of working experience as a data analyst (marketing analytics preferred)
<br>Strong analytical skills with ability to collect, organize, analyze significant amounts of information and massive datasets (expertise in SQL, Hive)
<br>Experienced in data visualization using Tableau and Excel
<br>Familiar with scripting languages such as R, Python and/or PHP
<br><b>Technical expertise in data mining:</b> statistical distribution, missing/outliers data statistics, segmentation, regression, A/B testing, hypothesis testing, etc.
<br><b>Excellent communication and presentation skills:</b> adept at queries and comfortable creating reports and presenting findings to management and business partners using Excel and Powerpoint
<br><br>
Additional Information
<br><br>
Visa will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of Article 49 of the San Francisco Police Code.
<br><br>
All your information will be kept confidential according to EEO guidelines.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Data Analyst
1,Microsoft,"<span class=""summary"" id=""job_summary"">Are you passionate about working with Big Data to solve business problems that directly impact our customers? Are you excited about gaining new insights &amp; intelligence, and answering critical questions based on data?
<br>
Hundreds of millions use Outlook daily - we are on a mission to make it a billion. This mission takes us to meet our customers where they are: on all platforms (Windows, Mac, iOS, Android, Web) and through all service providers (Gmail, Yahoo, Outlook.com, Office365, etc.). We are currently working with big data and building tools and models to extract relevant business information to help us reach our organizational goals like grow usage (MAU), grow cross client usage (i.e. mobile + desktop), and monetization (i.e. sell and retain Office 365 subscriptions). We are looking for a talented and experienced data analyst who can mine data and provide key insights to optimize growth and usage while we experiment with new ways to upsell or renew users to the various subscription offerings.
<br>
<br>
Key tasks and responsibilities:
<br>
<br>
• Work with the product team to define, track and report key product metrics.
<br>
• Provide quick turnaround data analysis to generate insights to help guide decision-makers and executives.
<br>
• Manipulate and analyze complex, high-volume, high-dimensionality data from varying sources using a variety of tools and data analysis techniques.
<br>
• Build a “data analysis practice” with both full- and self-service models for investigations, and a regular engagement rhythm to empower the entire organization with data-driven decisions.
<br>
• Present and communicate broadly across the product groups to drive the future strategy for Outlook - grounded in analytics.
<br>
• Work side-by-side with other feature PMs to empower their own data explorations and growth experiments.
<br>
• Help develop the skills of the entire team as data-savvy leaders who ask great questions and make informed decisions.
<br>
<br>
Basic Qualifications:
<br>
<br>
• 3-5 years of experience in data science or business analytics.
<br>
• 3+ years’ experience in Excel and writing SQL queries for data manipulation.
<br>
• Bachelor’s degree in a quantitative field (Sciences, Engineering, Economics, etc.)
<br>
• 3+ years’ experience in languages such as Python and/or R.
<br>
<br>
Preferred Qualifications:
<br>
<br>
• Master’s degree in a quantitative field preferred but not required.
<br>
• Self-starter with a strong passion for using data to influence business decisions and strategy investments.
<br>
• Experience in C#/C++ or similar languages is a strong plus.
<br>
• Ability to intelligently integrate a wide range of data sources and analysis to answer core business questions and discover growth opportunities.
<br>
• Excellent oral and written communication skills and ability to present and discuss data models and analysis to a range of audiences across development, operations and business teams in Microsoft
<br>
• Exceptional ability to effectively negotiate and collaborate across teams and organizations
<br>
<br>
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Data Analyst
2,Academic Organization,"<span class=""summary"" id=""job_summary""><p>An academic organization in Irvine is currently seeking an entry level data analyst. The successful candidate will have experience analyzing data, metrics and general database work. Experience with Excel, Access and SPSS highly preferred.</p><p>Please send resume and salary requirements.</p><p>Job Type: Full-time</p><p>Salary: $30,000.00 /year</p><p>Required education:</p><ul><li>Associate</li></ul><p>Required experience:</p><ul><li>Excel: 1 year</li><li>Microsoft Access: 1 year</li><li>SSPS: 1 year</li></ul></span>",Data Analysis - Entry level
3,PCS Global Tech,"<span class=""summary"" id=""job_summary""><p><b>Open positions: </b></p><ul><li>SQL Developer</li><li>BI Developer</li><li>Reports Developer</li><li>Data Analyst</li><li>QA Engineer</li></ul><p><b>Location: San Diego, CA and Philadelphia, PA.</b></p><p>Responsibilities:</p><ul><li>Act as the support and team member for a small development group</li><li>Improve performance, scalability and stability of databases and application processes</li><li>Design, develop and maintain database objects (tables, views, stored procedures) in SQL 2008 and 2012 environments</li><li>Identify issues and improvements to existing SQL processes for optimal efficiency</li><li>Automation of common database and application tasks</li></ul><p><b>PCS Global Tech</b> is a part of an information organization that specializes in training the technological minds of the future. We are a Microsoft Partner and strive to introduce trainees to the world of Business Intelligence.</p><p>We look forward to talented and committed candidates like you that want to launch career in area of Software Development and BI.</p><p>Desired Skills:</p><ul><li>Must have a Bachelor or Master Degree in Science, Technology, Engineering or Mathematics.</li><li>Basic knowledge on SQL or other database.</li><li>Basic knowledge of Programming languages like java, C/C++ or C#.</li><li>Knowledge of BI tools or data warehouse is plus</li><li>Good Communication skills.</li></ul><p>Multiple opportunity with a fastest growing global IT company in business intelligence and analytics. The ideal candidate will be trained for 6 to 8 weeks of extensive workshop on <b>Azure</b> , Data <b>warehousing</b> tools ( <b>SQL</b> Server 2005, 2008 R2, 2012), <b>BI</b> Tools (SSIS, SSRS, SSAS), <b>C#.Net</b> , <b>TFS</b> 2012, <b>SharePoint</b> 2013, other database development methodologies and proven best practice for developing BI applications.</p><p>Our Talent Development Program (TDP) is the bridge to take you from academics to the real world of developing Business Intelligence application. As a part of TDP, not only you understand the technology in BI field, but also get to work on real time scenarios with the Industry’s best practices. This program will fast track your career path.</p><p><b>Benefits: </b></p><ul><li>Stipend <i>and Salary.</i></li><li>Immigration Support – OPT, OPT STEM, TN, H1B, GC</li><li>Accommodation</li><li>Leverage robust infrastructure of Software Company.</li><li>18+ years of Industry experience with several fortune 500 clients. Writing SQL Stored Procedures, Query Performance Tuning, 24/7 high availability and Large Volume Handling of Data, in Large scale SQL 2008/2012 Enterprise servers in a multiple server.</li></ul><p>Job Type: Full-time</p><p>Salary: $60,000.00 /year</p><p>Required education:</p><ul><li>Bachelor's</li></ul></span>",Full Time - Entry Level SQL/BI Position
4,Blend Labs,"<span class=""summary"" id=""job_summary"">At Blend, we’re dedicated to improving lending. We’re an enterprise technology company, but our product affects the most important purchase most people will make in their lifetime—their home. For homebuyers, our product means a clear, guided path to a new home. For lenders, it means modern, easy-to-use tools that let employees spend their time helping customers, rather than on repetitive, manual tasks. By aligning and modernizing this archaic industry, we believe everybody wins.
<br>
<br>
We need someone who’s driven to solve hard problems—the harder the better. We’re motivated by the fact that our product won’t just affect the lives of a few people in the Bay Area—it affects people all over America, not to mention a foundational part of the U.S. economy. Founded in 2012 by former Palantir leaders, we’re currently backed by Founders Fund, Andreessen Horowitz and other prominent investors.
<br>
<br>
The Data Analyst will support data needs across our growing company. As an early member of our analytics team, you will help to define how we work with data and influence decision making throughout Blend with your insightful analysis and reporting. You will work closely with our Data Science and Data Engineering teams, gaining expertise in data analysis, visualization, and infrastructure.
<br>
<br>
Our ideal Data Analyst has experience working in SQL, is familiar with Python or R, and understands statistics. You may be a great fit if you work well both independently and collaboratively, take ownership of your work, and can explain complicated ideas to just about anyone.
<br>
<br>
<b>Responsibilties
</b><ul><ul><li>Prepare data for exploratory analysis, intelligent data products, and dashboards.
</li><li>Collaborate with Data Engineers to develop and implement an ETL system for Blend’s rapidly growing data store.
</li><li>Conduct exploratory analysis on our extensive datasets to discover valuable insights for our organization.
</li><li>Maintain and improve our internal dashboard product. </li></ul></ul><b>Requirements
</b><ul><ul><li>Experience working in SQL, including joins, windowing functions and time series processing.
</li><li>Familiarity with a scientific computing language, such as Python or R.
</li><li>Understanding of fundamental probability and statistical concepts, such as hypothesis testing, maximum likelihood, and basic regression.
</li><li>Interest or experience in machine learning techniques (such as regression, decision tree, and segmentation) is helpful.
</li><li>Demonstrated ability to structure complex problems, derive insights from data, and communicate with diverse teams.
</li><li>BS in a quantitative discipline.
</li><li>Advanced degree is a plus. </li></ul></ul><b>Benefits
</b><ul><ul><li>Meaningful equity at an early stage company
</li><li>Daily catered lunch and dinner, and an endless snack supply
</li><li>Conveniently located in San Francisco's Financial District
</li><li>Top-tier medical, dental, and vision insurance
</li><li>Gym membership
</li><li>Public transportation pass
</li><li>Flexible work hours and vacation time</li></ul></ul></br></br></br></br></br></br></br></br></span>",Data Analyst
5,Tesla Motors,"<span class=""summary"" id=""job_summary"">The Role
</span>",Reliability Data Analyst
6,Lease Advisors,"<span class=""summary"" id=""job_summary""><p><b>Job Duties: </b></p><p>A leading financial services firm, that works directly with cell tower and billboard lease owners, is looking for a full-time Junior Data Analyst Coordinator who will be responsible for helping to maintain and develop our live database of leads and landlord contacts. The Junior Data Analyst Coordinator will work directly with the Senior Director of Information Systems and will be integral in analyzing data, tracking trends and coming to new conclusions based on findings. The Junior Data Analyst Coordinator will also help provide quality control to the company’s existing Salesforce database. This individual will be working in a dynamic and growing company and must be a self-starter with an entrepreneurial disposition.This individual must have a strong ability to multitask and think outside of the box. Prior experience with Salesforce and database applications is a must. Individuals with a prior real estate background is preferred, but not required.</p><p><b>Qualifications: </b></p><ul><li>Bachelor’s Degree</li><li>A minimum of 1-3 years of Salesforce experience or other CRM</li><li>Strong database experience and development</li><li>Strong math and analysis skills</li><li>Attention to detail and strong communication skills</li></ul><p><b>Compensation: </b></p><p>Commensurate with experience (range is between $15-$20 an hour)</p><p>This position will be eligible for benefits including Medical, Dental, and Vision.</p><p>Job Type: Full-time</p></span>",Junior Data Analyst
7,The Walt Disney Studios,"<span class=""summary"" id=""job_summary"">Development of prototype solutions, mathematical models, algorithms, machine learning techniques, and robust analytics to support analytic insights and visualization of complex data sets
<br>Provide optimization recommendations that drive KPIs established by product, marketing, operations, PR teams, and others
<br>Drive innovation by exploring new experimentation methods and statistical techniques that could sharpen or speed up our product decision-making processes
<br>Develop and deploy testing hypotheses and analyze test results, providing the necessary analytical rigor to ensure data quality, consistency, repeatability, and accuracy of insights
<br>Leverage analytical tools to understand consumer behavior, e.g. click through rates, golden pathways, conversion analysis, marketing effectiveness
<br>Ask and answer the next question(s) after gathering and analyzing the data to make insights more powerful – not just delivering what was asked for!
<br>Desire to participate in an “Open Source” learning environment where sharing, documenting, teaching, and collaborating with others is the culture
<br>5+ years relevant experience with a proven track record of leveraging analytics to drive significant business impact
<br>Bachelor's degree in Statistics, Mathematics, Operations Research, Computer Science, Econometrics or related field
<br>Statistical knowledge and intuition - ideally utilized in A/B testing
<br>Experience with distributed databases and query languages like Hive, Spark, Scala, or Pig
<br>Programming experience with a scripting language such as Python, Perl, Java, or Ruby
<br>Proficiency with a statistical analysis tool such as R or SAS
<br>Relational, no-SQL, and/or columnar data experience required
<br>Experience with SQL
<br>Machine learning experience
<br>Strong knowledge of Google Analytics, Omniture, Kochava, and/or other web or mobile analytic toolset
<br>Ability to tell a story with data – What does the analysis tell you? What do you think the business should do next? Why do you think what is happening, is happening? Ability to influence others with the story of what you’re seeing in the data to make business recommendations
<br>Ability and desire to lead projects independently from start to finish, working with internal and external teams to make decisions and maintain momentum
<br>Excellent time and project management skills, with the ability to manage detail work and communicate project status effectively to all levels
<br>Proven track record in meeting aggressive deadlines
<br>PhD or MS degree in Statistics, Mathematics, Operations Research, CS, Econometrics or related field
<br>This position is with company code 1990, an equal opportunity employer
<br><br>
DisneyData
<br><b>The Walt Disney Studios – Studio Technology:</b> Sr. Data Analyst
<br><br>
Are you curious, creative, and love data? Do you love to learn new things and collaborate to solve hard and interesting problems? Do you want to be on the cutting edge of breakthroughs in data and analytics, encouraged to discover, challenged to think bigger, and supported to learn new things personally and professionally? Do you love the challenge and excitement that comes with not knowing today, what problem you might be working on tomorrow? Do you thrive in a high paced environment? Do you want to “make a difference” with the work you do?
<br><br>
The Walt Disney Studios (TWDS) is seeking a Sr. Data Analyst to oversee the design, build, and testing of formulas for complex metrics/KPIs, (Lifetime Value, Cost Per Registered User, Retention Curves), machine learning methods, and analytics models to support the Disney Movies Anywhere team within the TWDS. This position will report to the Director of Analytics for TWDS. The goal of this team is to create a competitive advantage for TWDS using data.
<br>As a trusted creator of premium entertainment experiences for the whole family, The Walt Disney Studios is committed to making it easier than ever for consumers to grow their digital movie libraries in a seamless and family-friendly experience. Disney Movies Anywhere (DMA) is The Walt Disney Studios’ exclusive cloud-based digital movie service. This app for iOS, Android and Web experiences enables consumers to discover, purchase, manage, and watch movies from Disney, Pixar, Marvel, and Star Wars at home and on the go.
<br><br>
<b>Position Summary:</b><br>
The Sr. Data Analysts will research, design, implement and validate algorithms to analyze diverse sources of data to achieve targeted outcomes. The role will provide expertise on mathematical concepts and machine learning for the broader analytics team and inspire the adoption of advanced analytics and data science.
<br>This position is with company code 1990, an equal opportunity employer
<br><br>
DisneyData</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Sr Data Analyst
8,Blizzard Entertainment,"<span class=""summary"" id=""job_summary"">Blizzard Entertainment has been rated by Fortune as one of the ""Best Places to Work"" for several years running. We are a community of 4,000 global employees who are passionate about not only gaming, but entertainment and the technology that drives our users experience.
<br>
<br>
Blizzard marketing is looking for an associate data analyst to join the team! As our franchises continue to grow, and audiences and media platforms expand, this individual and the need for expert data analysis is critical to the success of our campaigns.
<br>
<br>
This role measures and reports on key insights for our digital marketing campaigns. The position will work with website, social media, television, search, mobile, display and organic datasets to identify underlying trends and optimize marketing ROI across channels and divisions. The role will also help to create reports and visualizations for various operational levels, participate in weekly reporting meetings with agencies and franchise leads to ensure timely delivery of reports, and help complete ad hoc projects as needed.
<br>
<br>
The ideal candidate is passionate and knowledgeable about digital marketing, is a team player, a critical thinker, and must possess strong interpersonal skills to interface effectively with both the marketing and technical teams.
<br>
<br>
<b>Responsibilities
</b><br>
<b><br>
Data Preparation and Analysis
</br></b><br>
<ul><li>Align disparate marketing performance datasets; merge internal site-level data with external vendor-side data.
</li><li>Assist analytics manager with regular analysis of campaign performance and best practices.
</li><li>Work closely with teams to coordinate campaign tagging.
</li><li>Work closely with analytics manager, Business Intelligence (BI) and game teams to coordinate tagging implementation for website and new media.
</li><li>Coordinate data transfers from vendors and communicate analyses and recommendations.
</li><li>Work closely with ad teams to A / B test creatives.
</li></ul><b>Reporting
</b><br>
<ul><li>Maintain reporting visualizations and dashboards using Powerpoint and Tableau.
</li><li>Generate reports on digital marketing efforts for Blizzard corporate and Regional Divisions as needed.
</li><li>Provide insights for divisions and internal teams as needed.
</li><li>Assist with individual campaign reporting requests for divisions on an ad-hoc basis.
</li><li>Manage external agencies to produce regular and ad hoc campaign reports, drawing out insights and optimizations related to media objectives, and clearly communicating results to internal and external stakeholders.
</li><li>Data Processing and Verification
</li><li>Maintain and troubleshoot data collection process with media vendors to ensure accuracy.
</li><li>Work with analytics manager to maintain data ecosystem and assist in onboarding new technology or processes.
</li><li>Work closely with vendors to validate data generated by Google Analytics and site-based tags.
</li><li>Maintain campaign and creative level taxonomies.
</li><li>Oversee data quality and hygiene (including extraction, transformation and loading) and identifying inconsistencies and gaps in data to ensure consistency and accuracy.
</li><li>Oversee streamlining data and analytics processes, automating tasks, and identifying opportunities to improve workflow.
</li></ul><b>Platform Tools
</b><br>
<ul><li>Manage global conversion tag requests for all media campaigns.
</li><li>Be an expert in Sizmek AdServer, Tune, Google Tag Manager, and Google Analytics.
</li></ul><b>Requirements
</b><br>
<ul><li>Bachelor’s degree in a related field
</li><li>A minimum of 3 years’ experience in an analytics role in marketing / advertising preferred
</li><li>Extensive experience with Microsoft Excel or equivalent spreadsheet software
</li><li>Results-driven professional with exceptional detail and knowledge around metrics, specifically A / B, multi-variant testing, and ROI analysis
</li><li>Experience analyzing digital media campaign performance
</li><li>Strong knowledge of digital media and analytics / measurement tools including: digital ad servers (e.g. DCM, Atlas, Sizmek), website analytics (e.g. Google Analytics, Omniture, Web Trends),
</li><li>Experience with data visualization (e.g. Tableau)
</li><li>Able to multitask, prioritize projects, and meet deadlines and execute high-quality work under tight deadlines with strong attention to detail
</li><li>Able to work successfully in a team environment, as well as independently, and exercise sound professional judgment
</li><li>Proficient knowledge of SQL (T-SQL, MySQL, HiveQL, etc.) and experience working with complex data sets
</li><li>Experience designing, deploying, maintaining, and enhancing analytical dashboards and reports across a variety of platforms
</li><li>Experience working in a multi-terabyte data volume environment
</li></ul><b>Pluses
</b><br>
<ul><li>Experience with Sizmek, Tune, Google Tag Manager, and Google Analytics
</li><li>Deep understanding of the digital advertising ecosystem; a strong familiarity with online media buying and selling processes and a base knowledge of DSPs, SSPs, and Ad Exchanges
</li><li>Required Application Materials
</li></ul><b>Resume
</b><br>
<ul><li>Cover Letter which should include:
<ul><li>Why you are interested in working at Blizzard
</li><li>What games you are currently playing
</li></ul></li></ul>**Only submittals with Cover Letters will be considered
<br>
<br>
Blizzard Entertainment is a global company committed to growing our employees along with the business. We offer generous benefits and perks with an eye on providing true work / life balance. We’ve worked hard to foster an intensely collaborative and creative environment, a diverse and inclusive employee culture, and training and opportunity for professional growth. Our people are everything. Our core values are real, and our mission has never changed. We are dedicated to creating the most epic entertainment experiences…ever. Join us!</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Associate Data Analyst
9,Future Simple,"<span class=""summary"" id=""job_summary"">Base is looking for a Data Analyst to join our Business Analytics team. This is a high visibility position that will work across the company as well as senior leadership.
<br>
<br>
Your responsibilities as a Data Analyst will include:
<ul><li>Provide reporting and insights to help Marketing, Sales and Customer Success Teams make informed business decisions.
</li><li>Compile relevant data from a variety of sources including SQL database.
</li><li>Ensure data integrity by understanding business processes and back-end data structure.
</li><li>Develop and maintain Tableau dashboards for each team.
</li><li>Conduct ad-hoc analysis to answer business questions.
</li><li>Provide specifications and guidance to the data engineering team to ensure data is structured in a way that facilitates business analysis.
</li></ul>Job Requirements
<ul><li>Degree in a highly quantitative/technical field (E.g. Engineering, Physics, Computer Science, Economics, etc.)
</li><li>2+ years of experience working with relational databases (MySQL or similar) for business analysis.
</li><li>2+ years of experience with a data visualization tool (E.g. Tableau).
</li><li>Ability to communicate with business stakeholders as well as data engineers and developers.
</li><li>Ability and desire to learn new tools and technologies quickly and independently.
</li></ul>What we offer
<ul><li>Personal responsibility and accountability
</li><li>Choose your own hardware
</li><li>Personal development funds
</li><li>Flexible hours and vacation time
</li><li>Daily catered lunch, fruit and lots of caffeine
</li><li>Relocation help and expenses covered, if need
</li><li>Employer Sponsored Health Insurance
</li><li>401(k) matching</li></ul></br></br></span>",Data Analyst
